M1\M2;TC = 0.03 s;SEN = 0.1 V;3;4
0.0;1.5;2.0;2.5;3.0
0.6;0.028319999999999998;0.028319999999999998;0.02833;0.028340000000000004
0.78;0.028360000000000003;0.02841;0.02845;0.02841
0.96;0.02031;0.021920000000000002;0.024;0.026
1.1400000000000001;0.0062;0.005;0.0038;0.0026
1.3199999999999998;0.00049;0.00032;0.00022;0.00022
1.5;0.00011;0.0001;7.000000000000001e-05;7.000000000000001e-05
