M1\M2;TC = 0.03 s;SEN Auto;3;4
0.0;-0.15;0.0;0.15;0.3
0.2;0.03912;0.03631;0.03622;0.0362
0.21000000000000002;0.03799;0.0363;0.03631;0.0362
0.22;0.037320000000000006;0.036320000000000005;0.03631;0.03622
0.23;0.03697;0.036340000000000004;0.03635;0.03621
0.24;0.036820000000000006;0.0364;0.036340000000000004;0.03623
0.25;0.03688;0.0365;0.036370000000000006;0.03621
0.26;0.037070000000000006;0.0367;0.0365;0.03628
0.27;0.037270000000000005;0.03697;0.0367;0.036370000000000006
0.28;0.03737000000000001;0.03712000000000001;0.036890000000000006;0.03651
0.29;0.03708;0.037090000000000005;0.036890000000000006;0.036590000000000004
0.3;0.03638;0.036640000000000006;0.036610000000000004;0.03636
0.31;0.03503;0.03563;0.03592000000000001;0.0358
0.32;0.03283;0.03375;0.0344;0.03452
0.32999999999999996;0.02932;0.03065;0.03161;0.03225
0.33999999999999997;0.024408000000000003;0.026160000000000003;0.027530000000000002;0.02858
0.35;0.018723;0.02028;0.021912;0.023205
0.36;0.013233000000000002;0.014430000000000002;0.015855;0.017277
0.37;0.008625;0.009348;0.010371;0.011585999999999999
0.38;0.005446;0.005681;0.006279;0.007071000000000001
0.39;0.003571;0.0034990000000000004;0.003694;0.004108
0.39999999999999997;0.002594;0.0024342;0.002385;0.002555
0.41;0.0020652;0.001884;0.0018513000000000002;0.0018936
0.42;0.0017334;0.0016017;0.0016059000000000002;0.0016173000000000001
0.42999999999999994;0.0014058;0.0013686;0.0013638;0.0014088000000000002
0.43999999999999995;0.0012057;0.0011271;0.0011319000000000001;0.001182
0.44999999999999996;0.0010188;0.0009885;0.0009699;0.001005
0.45999999999999996;0.0008897999999999999;0.0008711999999999999;0.0008565;0.0008859
0.47;0.0008136000000000002;0.0007989;0.0007719000000000001;0.0007698000000000001
0.48;0.0007573;0.0007149;0.0006797;0.0006951
0.49;0.0006903;0.0006716000000000001;0.0006717;0.0006495
0.49999999999999994;0.0006326000000000001;0.0006187;0.0006144;0.000604
0.51;0.00059;0.0005993;0.0005806;0.0005786000000000001
0.52;0.0005762;0.0005985000000000001;0.0005758;0.0005861
0.53;0.0005978;0.0005783;0.0005679999999999999;0.0005847000000000001
0.54;0.0005743;0.0005622;0.0005933;0.0005496
0.5499999999999999;0.0005379;0.0005624;0.0005535000000000001;0.0005509
0.5599999999999999;0.0004981;0.0005047;0.0005201;0.0005438
0.57;0.00048070000000000003;0.0005206000000000001;0.0005021;0.0005059
0.58;0.00043799999999999997;0.0004366;0.00047389999999999997;0.0004755
0.59;0.0004192;0.00041230000000000005;0.00044379999999999995;0.0004638
0.6;0.0003767;0.0003752;0.00042259999999999997;0.0004426
