M1\M2;TC = 0.03 s;SEN Auto
0.0;-1.0;3.0
-0.5;0.05677000000000001;0.0568
-0.45;0.05682;0.05688000000000001
-0.4;0.05679;0.05693000000000001
-0.35;0.05686;0.05694
-0.3;0.05694;0.05695
-0.25;0.05693000000000001;0.05699
-0.19999999999999996;0.057010000000000005;0.056960000000000004
-0.14999999999999997;0.0572;0.05681
-0.09999999999999998;0.057260000000000005;0.05624
-0.04999999999999999;0.05619;0.05548000000000001
0.0;0.05331;0.052110000000000004
0.050000000000000044;0.043070000000000004;0.04335
0.10000000000000009;0.028040000000000002;0.03171
0.15000000000000002;0.015171;0.019509000000000002
0.20000000000000007;0.00728;0.010092
0.25;0.00394;0.0048850000000000005
0.30000000000000004;0.0024042;0.002846
0.3500000000000001;0.0017219999999999998;0.0024069
0.4;0.001299;0.0016065
0.45000000000000007;0.0010929;0.0011106
0.5;0.0008889;0.0009735
