M1\M2;TC = 0.03 s;SEN = 0.1 V;3
0.0;8.0;8.5;9.0
3.4;0.046110000000000005;0.046;0.045970000000000004
3.419512195121951;0.046110000000000005;0.04605;0.04595
3.4390243902439024;0.046130000000000004;0.046040000000000005;0.04599
3.4585365853658536;0.04612;0.046020000000000005;0.04599
3.478048780487805;0.046130000000000004;0.04603;0.04599
3.497560975609756;0.0461;0.046060000000000004;0.04598
3.5170731707317073;0.04616;0.046040000000000005;0.04598
3.5365853658536586;0.04612;0.046090000000000006;0.04605
3.55609756097561;0.04615;0.046060000000000004;0.04605
3.575609756097561;0.04616;0.04607000000000001;0.04601
3.5951219512195123;0.04615;0.04608;0.04599
3.6146341463414635;0.04618;0.046090000000000006;0.046020000000000005
3.6341463414634148;0.04623;0.04605;0.046040000000000005
3.653658536585366;0.04624;0.04612;0.04603
3.6731707317073172;0.046290000000000005;0.046130000000000004;0.04603
3.6926829268292685;0.04628;0.04618;0.046020000000000005
3.7121951219512197;0.046340000000000006;0.04614;0.04607000000000001
3.731707317073171;0.046290000000000005;0.04618;0.04608
3.751219512195122;0.046110000000000005;0.04618;0.046020000000000005
3.770731707317073;0.04592;0.04598;0.0459
3.790243902439024;0.04578;0.04589;0.04585
3.8097560975609754;0.04524;0.04573;0.04565
3.8292682926829267;0.044;0.04531;0.04518
3.848780487804878;0.041670000000000006;0.04425;0.044180000000000004
3.868292682926829;0.0364;0.040720000000000006;0.041280000000000004
3.8878048780487804;0.02613;0.03175;0.03335
3.9073170731707316;0.014759999999999999;0.01778;0.020510000000000004
3.926829268292683;0.007060000000000001;0.00732;0.00927
3.946341463414634;0.00387;0.0030900000000000003;0.0040100000000000005
3.9658536585365853;0.00243;0.0019700000000000004;0.0025
3.9853658536585366;0.00162;0.00145;0.0017800000000000001
4.004878048780488;0.00114;0.0010700000000000002;0.0013100000000000002
4.024390243902439;0.00084;0.0008200000000000001;0.00102
4.04390243902439;0.0006600000000000001;0.0007;0.0008
4.0634146341463415;0.0006;0.00059;0.0006900000000000001
4.082926829268293;0.00051;0.00049;0.00059
4.102439024390244;0.00041000000000000005;0.00039000000000000005;0.00048000000000000007
4.121951219512195;0.00038;0.00037;0.0004
4.1414634146341465;0.0003;0.00032;0.0003
4.160975609756098;0.00031;0.00029000000000000006;0.00027
4.180487804878049;0.00021;0.00026000000000000003;0.0003
4.2;0.00022;0.00018;0.00022
