M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6
0.0;-10.0;-6.0;-2.0;2.0;6.0;10.0
0.0;0.03202000000000001;0.0349;0.04645;0.05621;0.04048;0.03525
0.05;0.029390000000000003;0.030840000000000003;0.03683;0.049960000000000004;0.03555;0.03237
0.1;0.026790000000000005;0.02667;0.027030000000000002;0.032220000000000006;0.03007;0.02937
0.15000000000000002;0.024207;0.022869;0.019611;0.012258;0.024215999999999998;0.02648
0.2;0.021897;0.019542;0.012249000000000001;0.005068;0.019953;0.023502000000000002
0.25;0.019746;0.016689000000000002;0.0065439999999999995;0.0026609999999999997;0.016227000000000002;0.021147
0.30000000000000004;0.017724;0.013893;0.003614;0.0019329;0.012831;0.018906
0.35000000000000003;0.015813;0.011460000000000001;0.0022473;0.0016185;0.009711;0.016689000000000002
0.4;0.014049;0.008973;0.0016638000000000002;0.0012138;0.006603;0.014370000000000003
0.45;0.012261;0.006327;0.0012933;0.0009447000000000001;0.003994;0.012033
0.5;0.010722;0.004185;0.0010464;0.0008372999999999999;0.00257;0.009942
0.55;0.009159;0.002797;0.0009108;0.0007622;0.0016929000000000002;0.008058
0.6000000000000001;0.007704000000000001;0.0019473;0.0007562000000000001;0.0006815;0.001188;0.006502
0.65;0.006344000000000001;0.0014712;0.000659;0.0006126;0.0009624000000000001;0.005078
0.7000000000000001;0.0049310000000000005;0.0011433;0.0006387000000000001;0.0005851;0.0007803;0.003749
0.75;0.0036200000000000004;0.0009687;0.0005978;0.0005138;0.0006972;0.002691
0.8;0.002651;0.0007905000000000001;0.0005391;0.0004835;0.0006107;0.0019191
0.8500000000000001;0.0019167000000000001;0.0006985;0.0005096;0.0004850000000000001;0.000537;0.0014304
0.9;0.0014499;0.0005952;0.0004325;0.000446;0.00047430000000000004;0.0010722
0.9500000000000001;0.0011474999999999999;0.0005323000000000001;0.0004158;0.0003886;0.0004284;0.0008262
1.0;0.0009660000000000001;0.0004506;0.00041150000000000003;0.00036899999999999997;0.000442;0.0006764000000000001
