M1\M2;TC = 0.03 s;SEN Auto;3
0.0;4.0;4.5;5.0
0.35;0.029940000000000005;0.02963;0.029480000000000003
0.3596774193548387;0.02955;0.029330000000000002;0.029090000000000005
0.3693548387096774;0.029190000000000004;0.02895;0.028710000000000003
0.3790322580645161;0.02885;0.028560000000000002;0.02828
0.3887096774193548;0.02851;0.02823;0.02785
0.39838709677419354;0.02815;0.027780000000000003;0.027390000000000005
0.4080645161290323;0.027740000000000004;0.027390000000000005;0.026940000000000002
0.41774193548387095;0.02738;0.027;0.026510000000000002
0.4274193548387097;0.02695;0.02658;0.026040000000000004
0.43709677419354837;0.02653;0.026160000000000003;0.025560000000000003
0.4467741935483871;0.02611;0.02563;0.025060000000000002
0.4564516129032258;0.025710000000000004;0.0252;0.024414
0.4661290322580645;0.02528;0.024576;0.023937
0.47580645161290325;0.024654;0.024141;0.023445
0.4854838709677419;0.024297;0.023750999999999998;0.023016
0.49516129032258066;0.023880000000000002;0.023256;0.022539
0.5048387096774194;0.02349;0.022878;0.022053
0.5145161290322581;0.023061;0.02241;0.02163
0.5241935483870968;0.022656;0.022005;0.021200999999999998
0.5338709677419355;0.022233000000000003;0.021578999999999997;0.020769
0.5435483870967742;0.021858000000000002;0.021195000000000002;0.02034
0.5532258064516129;0.021471;0.020793;0.019941
0.5629032258064517;0.02106;0.020378999999999998;0.019536
0.5725806451612904;0.020703;0.01992;0.019107
0.582258064516129;0.020331000000000002;0.019536;0.018696
0.5919354838709678;0.019962;0.019227;0.018276
0.6016129032258064;0.019569;0.018837;0.017919
0.6112903225806452;0.019194;0.018408;0.017511000000000002
0.620967741935484;0.018801;0.018087;0.017193
0.6306451612903226;0.018453;0.017706;0.016833
0.6403225806451613;0.01812;0.017319;0.016479
0.65;0.017751;0.016968;0.016074
