"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
1.135874878,0.9189102122,4.1015625,0.5478917373,4.1015625,0.6800465577,4.1015625,0.6707694484,4.1015625,0.5839489294,
1.162919518,0.9169824162,4.19921875,0.536043129,4.19921875,0.6712643565,4.19921875,0.6620660838,4.19921875,0.5726357241,
1.189964158,0.9150548261,4.296875,0.5246859294,4.296875,0.6626841822,4.296875,0.6535688371,4.296875,0.5616082442,
1.217008798,0.9131274466,4.39453125,0.5138968858,4.39453125,0.6543517395,4.39453125,0.645340819,4.39453125,0.5509374207,
1.244053438,0.9112002826,4.4921875,0.5037266878,4.4921875,0.6462975592,4.4921875,0.6374272023,4.4921875,0.5406764068,
1.271098078,0.9092733389,4.58984375,0.4941992115,4.58984375,0.6385364255,4.58984375,0.629853991,4.58984375,0.5308590466,
1.298142717,0.9073466204,4.6875,0.4853120987,4.6875,0.6310676676,4.6875,0.6226278489,4.6875,0.5214993736,
1.325187357,0.9054201317,4.78515625,0.4770385338,4.78515625,0.6238762525,4.78515625,0.6157369385,4.78515625,0.5125921149,
1.352231997,0.9034938778,4.8828125,0.4693300288,4.8828125,0.6169345685,4.8828125,0.6091526694,4.8828125,0.5041141254,
1.379276637,0.9015678635,4.98046875,0.4621200045,4.98046875,0.6102047626,4.98046875,0.6028322101,4.98046875,0.4960266273,
1.406321277,0.8996420936,5.078125,0.4553279535,5.078125,0.6036414726,5.078125,0.5967215905,5.078125,0.4882780984,
1.433365917,0.8977165729,5.17578125,0.4488639741,5.17578125,0.5971947901,5.17578125,0.5907592027,5.17578125,0.4808076312,
1.460410557,0.8957913063,5.2734375,0.4426334829,5.2734375,0.5908132909,5.2734375,0.5848795089,5.2734375,0.4735485747,
1.487455197,0.8938662985,5.37109375,0.4365419192,5.37109375,0.5844469827,5.37109375,0.5790167637,5.37109375,0.466432272,
1.514499837,0.8919415545,5.46875,0.4304992678,5.46875,0.5780500329,5.46875,0.5731085777,5.46875,0.4593917167,
1.541544477,0.890017079,5.56640625,0.4244242233,5.56640625,0.5715831587,5.56640625,0.5670991616,5.56640625,0.4523649648,
1.568589117,0.888092877,5.6640625,0.4182478301,5.6640625,0.5650155839,5.6640625,0.5609421143,5.6640625,0.4452981578,
1.595633757,0.8861689531,5.76171875,0.4119164334,5.76171875,0.5583264844,5.76171875,0.5546026411,5.76171875,0.4381480357,
1.622678397,0.8842453124,5.859375,0.4053937992,5.859375,0.5515058706,5.859375,0.5480591165,5.859375,0.430883842,
1.649723037,0.8823219596,5.95703125,0.3986622885,5.95703125,0.5445548763,5.95703125,0.5413039329,5.95703125,0.4234885512,
1.676767677,0.8803988995,6.0546875,0.3917230118,6.0546875,0.53748545,6.0546875,0.534343612,6.0546875,0.4159593806,
1.703812317,0.878476137,6.15234375,0.3845949445,6.15234375,0.5303194704,6.15234375,0.527198188,6.15234375,0.408307578,
1.730856957,0.8765536771,6.25,0.3773130436,6.25,0.5230873353,6.25,0.5198999064,6.25,0.4005575152,
1.757901597,0.8746315244,6.34765625,0.3699254716,6.34765625,0.5158261023,6.34765625,0.5124913192,6.34765625,0.3927451469,
1.784946237,0.8727096839,6.4453125,0.3624900977,6.4453125,0.5085772801,6.4453125,0.5050228862,6.4453125,0.38491593,
1.811990877,0.8707881605,6.54296875,0.3550705023,6.54296875,0.5013843975,6.54296875,0.4975502226,6.54296875,0.3771223235,
1.839035516,0.868866959,6.640625,0.3477317534,6.640625,0.4942904856,6.640625,0.4901311498,6.640625,0.3694210122,
1.866080156,0.8669460842,6.73828125,0.340536247,6.73828125,0.4873356206,6.73828125,0.4828227173,6.73828125,0.3618700086,
1.893124796,0.8650255411,6.8359375,0.3335398981,6.8359375,0.4805546701,6.8359375,0.4756783621,6.8359375,0.3545257903,
1.920169436,0.8631053344,6.93359375,0.3267889381,6.93359375,0.4739753725,6.93359375,0.4687453592,6.93359375,0.3474406198,
1.947214076,0.8611854692,7.03125,0.3203175149,7.03125,0.4676168577,7.03125,0.4620626927,7.03125,0.3406601773,
1.974258716,0.8592659502,7.12890625,0.314146211,7.12890625,0.4614886828,7.12890625,0.4556594426,7.12890625,0.3342216061,
2.001303356,0.8573467823,7.2265625,0.3082815059,7.2265625,0.4555904249,7.2265625,0.449553748,7.2265625,0.3281520414,
2.028347996,0.8554279705,7.32421875,0.3027161212,7.32421875,0.4499118294,7.32421875,0.4437523631,7.32421875,0.3224676566,
2.055392636,0.8535095195,7.421875,0.2974301203,7.421875,0.4444334836,7.421875,0.4382507919,7.421875,0.3171732334,
2.082437276,0.8515914344,7.51953125,0.2923925963,7.51953125,0.4391279491,7.51953125,0.4330339523,7.51953125,0.3122622384,
2.109481916,0.8496737199,7.6171875,0.2875637665,7.6171875,0.4339612723,7.6171875,0.4280773033,7.6171875,0.3077173696,
2.136526556,0.8477563809,7.71484375,0.2828973178,7.71484375,0.4288947724,7.71484375,0.4233483525,7.71484375,0.3035115317,
