M1\M2;TC = 0.03 s;SEN = 0.1 V;3;4;5;6
0.0;2.5;3.0;3.5;4.0;4.5;5.0
0.65;0.028360000000000003;0.02841;0.02841;0.02845;0.02841;0.02841
0.7444444444444445;0.028390000000000002;0.02843;0.028390000000000002;0.028360000000000003;0.028440000000000003;0.028390000000000002
0.8388888888888889;0.02852;0.028590000000000004;0.02851;0.0285;0.028460000000000003;0.028390000000000002
0.9333333333333333;0.026260000000000002;0.02773;0.02852;0.028710000000000003;0.02858;0.028380000000000002
1.0277777777777777;0.015880000000000002;0.01693;0.018570000000000003;0.020640000000000002;0.0221;0.02253
1.1222222222222222;0.00521;0.0038;0.0024100000000000002;0.00148;0.001;0.0011200000000000001
1.2166666666666668;0.00098;0.00064;0.00051;0.00038;0.00035;0.00036
1.3111111111111111;0.00028000000000000003;0.00022;0.00025;0.00018;0.0002;0.0002
1.4055555555555554;0.00015;0.00012000000000000002;0.00013000000000000002;0.0001;0.00014000000000000001;0.00012000000000000002
1.5;8e-05;0.00012000000000000002;7.000000000000001e-05;0.00011;5e-05;9e-05
