M1\M2;TC = 0.03 s;SEN Auto;3;4
0.0;3.0;3.1666666666666665;3.3333333333333335;3.5
1.7;0.02808;0.02795;0.027880000000000002;0.02781
1.706896551724138;0.028069999999999998;0.02797;0.027880000000000002;0.02777
1.7137931034482758;0.027990000000000004;0.027890000000000005;0.027819999999999998;0.02777
1.7206896551724138;0.027940000000000003;0.02792;0.02785;0.02773
1.7275862068965517;0.027840000000000004;0.02783;0.027760000000000003;0.02756
1.7344827586206897;0.0277;0.02768;0.0275;0.02733
1.7413793103448276;0.02745;0.02732;0.027140000000000004;0.02688
1.7482758620689656;0.027;0.026869999999999998;0.02653;0.02617
1.7551724137931033;0.02628;0.02603;0.025690000000000004;0.02519
1.7620689655172412;0.025230000000000002;0.02469;0.024198;0.023655000000000002
1.7689655172413792;0.023592000000000002;0.023163;0.022680000000000002;0.021951
1.7758620689655171;0.021888;0.021348000000000002;0.020753999999999998;0.019869
1.782758620689655;0.019944;0.019248;0.018525;0.017547
1.789655172413793;0.017697;0.0168;0.016014;0.015
1.796551724137931;0.015453;0.014403000000000001;0.013512;0.012456
1.803448275862069;0.013011000000000002;0.012075;0.011022;0.010020000000000001
1.8103448275862069;0.011061;0.009792;0.008841;0.007773
1.8172413793103448;0.008967000000000001;0.007785000000000001;0.006861;0.0059
1.8241379310344827;0.007286;0.006204;0.005207;0.004343
1.8310344827586207;0.00592;0.004876;0.00395;0.00319
1.8379310344827586;0.004771;0.0038759999999999997;0.0030310000000000003;0.0024396
1.8448275862068964;0.003857;0.0030210000000000002;0.0023856000000000003;0.0018588
1.8517241379310345;0.0032;0.002513;0.0019245;0.0015450000000000001
1.8586206896551722;0.0026810000000000002;0.0020514;0.0016577999999999999;0.0013062
1.8655172413793102;0.0022449;0.0017706;0.0014202;0.0011469
1.8724137931034481;0.0019452000000000002;0.0015117000000000002;0.0012468;0.0009984
1.879310344827586;0.0016734000000000002;0.0013365;0.0010938;0.0009327
1.886206896551724;0.0014601;0.0011676;0.0009849;0.0008420999999999999
1.893103448275862;0.0012891;0.0010464;0.0008891999999999999;0.0007629000000000001
1.9;0.0011523;0.0009288;0.0008181000000000001;0.0007061
