M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6;7
0.0;5.0;5.5;6.0;6.5;7.0;7.5;8.0
0.2;0.018294;0.015882;0.015918;0.015939000000000002;0.015921;0.015936000000000002;0.015858
0.21000000000000002;0.017225999999999998;0.015966;0.01593;0.015984;0.015939000000000002;0.015828000000000002;0.015885
0.22;0.016662;0.01593;0.015897;0.015942;0.015945;0.01593;0.015879
0.23;0.016362;0.015942;0.0159;0.016116;0.015972;0.015855;0.015885
0.24000000000000002;0.016167;0.015942;0.015954;0.016092000000000002;0.015948;0.015885;0.015897
0.25;0.01611;0.015969;0.015921;0.016083;0.015951;0.015870000000000002;0.015885
0.26;0.016041;0.015978;0.015927;0.015948;0.015942;0.0159;0.015915000000000002
0.27;0.016002000000000002;0.01605;0.01596;0.015966;0.015948;0.015918;0.015924
0.28;0.015978;0.015984;0.015993;0.015939000000000002;0.015993;0.015897;0.015999
0.29000000000000004;0.015975;0.016071000000000002;0.015962999999999998;0.015939000000000002;0.015993;0.015888;0.015969
0.30000000000000004;0.015945;0.016002000000000002;0.015942;0.016035;0.016014;0.016028999999999998;0.015957
0.31;0.015927;0.016028999999999998;0.015921;0.015969;0.015975;0.016028999999999998;0.015962999999999998
0.32;0.015999;0.016095;0.015984;0.015957;0.015999;0.016023;0.015978
0.33;0.016008;0.016014;0.015972;0.015987;0.016194;0.01599;0.015987
0.34;0.016158000000000002;0.016002000000000002;0.015939000000000002;0.015984;0.016068;0.015999;0.016031999999999998
0.35;0.016116;0.015981;0.015948;0.015978;0.016068;0.016038;0.016035
0.36;0.01623;0.016028999999999998;0.015957;0.01614;0.016028999999999998;0.016038;0.016053
0.37;0.016275;0.016035;0.015966;0.016092000000000002;0.016038;0.016059;0.016149
0.38;0.01629;0.016179;0.01596;0.016026;0.016044;0.016077;0.016143
0.39;0.016416;0.016206;0.016062;0.016047;0.016104;0.016119;0.016176
0.4;0.016470000000000002;0.01632;0.016128;0.016071000000000002;0.016113;0.016224000000000002;0.016167
0.41000000000000003;0.016458;0.016374;0.01617;0.016083;0.016131;0.0162;0.016203
0.42000000000000004;0.016371;0.016449000000000002;0.016221;0.016089000000000003;0.0162;0.016188;0.016152
0.43000000000000005;0.016287;0.016461;0.016368;0.016143;0.01617;0.016143;0.016152
0.44;0.016194;0.016503;0.016443;0.01623;0.016236;0.016143;0.016011
0.45;0.016020000000000003;0.016539;0.016551;0.016296;0.016179;0.016020000000000003;0.015939000000000002
0.46;0.015714000000000002;0.016614;0.016653;0.016317;0.016128;0.015948;0.015747
0.47000000000000003;0.015309;0.01644;0.016707;0.016406999999999998;0.016086000000000003;0.015813;0.015453
0.48000000000000004;0.014625;0.01617;0.016782;0.016437;0.016053;0.015684;0.015201
0.49;0.013728;0.015585;0.016715999999999998;0.016479;0.015975;0.015420000000000001;0.014865
0.5;0.012726000000000001;0.014685;0.016125;0.016329;0.015806999999999998;0.015072;0.014418
0.51;0.011454;0.013359000000000001;0.015171;0.015915000000000002;0.015477000000000001;0.014622;0.013893
0.52;0.010110000000000001;0.011724;0.013896;0.015125999999999999;0.014994;0.013977000000000002;0.013113
0.53;0.008778;0.009984;0.012138;0.013833000000000002;0.014199000000000002;0.013143;0.012228
0.54;0.0076230000000000004;0.008316;0.010119;0.012060000000000001;0.012888;0.012159;0.011175
0.55;0.006626999999999999;0.0068980000000000005;0.00798;0.009819;0.011043;0.010812;0.009996000000000001
0.56;0.005783;0.005626;0.006051;0.00744;0.008868000000000001;0.009165000000000001;0.008832000000000001
0.5700000000000001;0.0050609999999999995;0.004611;0.004382;0.005065;0.006515000000000001;0.007490000000000001;0.007554000000000001
0.5800000000000001;0.004381;0.0037719999999999997;0.0031420000000000003;0.003191;0.0043939999999999995;0.005704;0.006321
0.5900000000000001;0.0037649999999999997;0.003108;0.0023274000000000003;0.0020079;0.002764;0.004159;0.00523
0.6000000000000001;0.0032549999999999996;0.0025629999999999997;0.0018036;0.0013431;0.0017526;0.003012;0.0042899999999999995
0.6100000000000001;0.002746;0.0020886;0.0014313000000000002;0.0010092;0.0012303000000000001;0.0022068;0.003507
0.62;0.0023349;0.0017144999999999999;0.0011838;0.0008436;0.0009903;0.0017427;0.002918
0.63;0.0019542;0.0014184;0.0009753;0.0007284;0.0008426999999999999;0.0014232000000000001;0.0024483
0.64;0.001662;0.0011654999999999999;0.000798;0.0006207;0.0007021;0.0011516999999999999;0.0020091
0.65;0.001401;0.0009828;0.000669;0.000531;0.0005853;0.0009216000000000001;0.0016356
0.66;0.0011835;0.0008334;0.0005681;0.00045040000000000005;0.000475;0.0007346;0.0013017
0.67;0.0010008;0.0006984;0.0005054;0.00040149999999999995;0.0004162;0.0005924000000000001;0.0010608
0.6799999999999999;0.0008847;0.0006020999999999999;0.0004255;0.000352;0.0003846;0.0005147;0.0008807999999999999
0.69;0.0007605;0.0005291;0.00038679999999999997;0.0003398;0.0003439;0.0004445;0.000719
0.7;0.0006862;0.0004713;0.00034290000000000004;0.0002986;0.00030649999999999997;0.0003991;0.0006280999999999999
0.71;0.0005998;0.00041850000000000004;0.00031430000000000005;0.0002798;0.0002896;0.0003541;0.0005437
0.72;0.000549;0.0003953;0.00030540000000000005;0.00026510000000000005;0.000268;0.0003299;0.0004741
0.73;0.000479;0.0003434;0.0002744;0.0002586;0.0002503;0.0003056;0.0004284
0.74;0.00042290000000000003;0.0003188;0.0002544;0.00022365;0.00024176999999999998;0.0002956;0.0003857
0.75;0.0003663;0.00028220000000000003;0.00021489000000000002;0.00022479;0.0002343;0.0002881;0.0003519
0.76;0.0003236;0.00025739999999999997;0.00021672000000000003;0.00019500000000000002;0.00020700000000000002;0.0002636;0.0003608
0.77;0.0002771;0.00023532000000000002;0.00019905000000000001;0.00019689000000000002;0.00021018;0.0002628;0.0003544
0.78;0.00024837000000000004;0.00019983000000000002;0.00019248;0.00017427000000000002;0.00020451;0.00025071;0.00034649999999999997
0.79;0.00023052;0.00018561;0.00017646000000000003;0.00017508;0.000192;0.00025887;0.0003408
0.8;0.00020742000000000002;0.00017634;0.00015702;0.00016749;0.0001881;0.00024246000000000003;0.0003403
0.81;0.00019773;0.00017589000000000003;0.00015453;0.00014844;0.00017439;0.00021741000000000002;0.0003282
0.8200000000000001;0.00017874;0.00016584;0.00015390000000000003;0.00013347;0.00016845;0.00019767000000000002;0.0003053
0.8300000000000001;0.00018816000000000001;0.00015915000000000002;0.00014253;0.00013644000000000002;0.00015927;0.00018486000000000002;0.0002738
0.8400000000000001;0.00015243;0.00014793;0.00012945;0.00011502;0.00014316;0.00015834;0.00023879999999999998
0.8500000000000001;0.00014646;0.00011832;0.00012489;0.00012609;0.00013098;0.00014028;0.00020331
0.8600000000000001;0.00015729;0.00013041;0.00011946000000000001;0.00011346;0.00012447;0.00015249000000000003;0.00017427000000000002
0.8700000000000001;0.00013488;0.00011766000000000001;0.00013494;0.000126;0.00011964000000000001;0.00012711000000000002;0.00015978000000000002
0.8800000000000001;0.00012576000000000002;0.00012438;0.00010623;0.00011007;0.00010938000000000001;0.00012077999999999999;0.00013173000000000001
0.8900000000000001;0.00012186000000000002;0.00011205;0.00011145;0.00010299;0.00011532;0.00011535;0.00012825
0.9000000000000001;0.00010875000000000001;0.00011139000000000002;0.00010494000000000001;0.0001044;9.999e-05;0.00010146;0.00011298000000000002
0.9099999999999999;0.00010875000000000001;0.00010221;9.039000000000001e-05;0.00010290000000000001;9.924e-05;0.00012423;0.00011700000000000001
0.9199999999999999;0.00011184;0.00010509;9.576e-05;9.498000000000002e-05;9.117000000000001e-05;0.00010524;0.00011832
0.9299999999999999;9.636e-05;8.664000000000001e-05;8.787e-05;8.157e-05;0.00010629;0.00010011000000000002;0.00012207000000000002
0.94;9.756000000000001e-05;7.944e-05;8.463000000000001e-05;9.279000000000001e-05;0.00010008000000000002;0.00010107000000000002;0.00010281
0.95;9.264e-05;9.369e-05;8.106e-05;9.027e-05;9.537e-05;9.306000000000001e-05;0.00010563
0.96;8.886e-05;7.758e-05;8.961e-05;8.154e-05;8.811e-05;0.00010836000000000001;0.00010284
0.97;8.669999999999999e-05;7.866000000000001e-05;7.132e-05;8.088000000000001e-05;8.913000000000001e-05;9.036000000000001e-05;9.492e-05
0.98;9.378000000000001e-05;8.55e-05;8.296e-05;7.692e-05;8.769e-05;9.795000000000001e-05;9.888e-05
0.99;8.054999999999999e-05;8.202e-05;8.04e-05;7.334e-05;8.775e-05;8.988e-05;9.615e-05
1.0;7.965e-05;8.2e-05;7.267000000000001e-05;7.284e-05;8.236e-05;8.333e-05;8.577e-05
