M1\M2;TC = 0.03 s;SEN Auto;3;4
0.0;-1.5;-1.0;-0.5;0.0
-0.1;0.035190000000000006;0.03243;0.032420000000000004;0.032920000000000005
-0.06538461538461539;0.034370000000000005;0.03235;0.03245;0.03215
-0.03076923076923077;0.033280000000000004;0.032690000000000004;0.03296;0.03263
0.0038461538461538464;0.033780000000000004;0.03245;0.03234;0.032940000000000004
0.038461538461538464;0.03315;0.032920000000000005;0.03311;0.0335
0.07307692307692307;0.033370000000000004;0.0327;0.033220000000000006;0.03333
0.1076923076923077;0.03397000000000001;0.03258;0.03332;0.0333
0.14230769230769233;0.030720000000000004;0.032510000000000004;0.03365;0.0345
0.17692307692307693;0.023007;0.02628;0.028990000000000002;0.02812
0.21153846153846154;0.015875999999999998;0.015237;0.013182;0.010536
0.24615384615384614;0.008868000000000001;0.005239;0.003065;0.002742
0.28076923076923077;0.004507;0.0023946;0.0016803;0.0015933
0.3153846153846154;0.002397;0.0015345;0.0010239000000000001;0.0010008
0.35;0.001398;0.0010494;0.0007833;0.000726
0.3846153846153847;0.0008853;0.0008247;0.0006623;0.0006276
0.4192307692307693;0.0007511;0.0006098;0.0005194;0.0005856
0.4538461538461539;0.0005439;0.00042290000000000003;0.00047190000000000003;0.0005331
0.4884615384615385;0.00035180000000000004;0.0003158;0.0004471;0.000504
0.5230769230769231;0.0003418;0.0003193;0.0004071;0.00042530000000000004
0.5576923076923077;0.00042050000000000003;0.00029319999999999997;0.0003875;0.00041589999999999997
0.5923076923076923;0.0003879;0.0004194;0.0003258;0.00036950000000000004
0.626923076923077;0.00044750000000000004;0.00033114000000000006;0.0003061;0.0003506
0.6615384615384616;0.00026470000000000004;0.00040584;0.0003157;0.0003353
0.6961538461538462;0.0002909;0.00034887000000000004;0.000304;0.0002904
0.7307692307692308;0.0002855;0.00032811000000000006;0.0002829;0.00032661
0.7653846153846154;0.00026526;0.00027948;0.0002817;0.00030780000000000005
0.8;0.00027819000000000005;0.00030066;0.0002887;0.00028281
