M1\M2;TC = 0.03 s;SEN Auto;3;4
0.0;1.0;2.0;3.0;4.0
-0.7;0.053720000000000004;0.0539;0.053810000000000004;0.05384
-0.6;0.053860000000000005;0.053860000000000005;0.053939999999999995;0.05395
-0.5;0.05396;0.05395;0.054020000000000006;0.05409
-0.39999999999999997;0.054020000000000006;0.05414;0.05403000000000001;0.054110000000000005
-0.3;0.054180000000000006;0.0541;0.054130000000000005;0.05398000000000001
-0.2;0.05437;0.05435;0.05412;0.053570000000000007
-0.09999999999999998;0.05464;0.05451;0.05354;0.051480000000000005
0.0;0.043460000000000006;0.04765;0.04225;0.03649
0.09999999999999998;0.005673;0.004473;0.00795;0.0135
0.19999999999999996;0.0021612000000000003;0.0019062;0.0021801000000000004;0.003425
0.29999999999999993;0.0012945;0.0011874000000000001;0.0013881;0.0020157
0.3999999999999999;0.000897;0.0008766;0.0009480000000000001;0.0010218
0.5;0.0007509;0.0007053;0.0007644;0.0007836000000000001
0.6;0.0006508;0.0006299000000000001;0.0006006000000000001;0.0006433
