M1\M2;TC = 0.03 s;SEN Auto;3
0.0;4.5;4.75;5.0
0.35;0.027160000000000004;0.025410000000000002;0.02538
0.3596774193548387;0.02636;0.02537;0.02536
0.3693548387096774;0.025890000000000003;0.02527;0.02525
0.3790322580645161;0.02565;0.02525;0.02517
0.3887096774193548;0.025580000000000002;0.025210000000000003;0.02514
0.39838709677419354;0.025570000000000002;0.02515;0.025
0.4080645161290323;0.02568;0.025230000000000002;0.024669
0.41774193548387095;0.0258;0.025240000000000002;0.024588
0.4274193548387097;0.02592;0.025240000000000002;0.024477000000000002
0.43709677419354837;0.026019999999999998;0.02528;0.024291
0.4467741935483871;0.02586;0.02518;0.024093
0.4564516129032258;0.02534;0.024555;0.023688
0.4661290322580645;0.023733;0.023523000000000002;0.02283
0.47580645161290325;0.021465;0.021585;0.021183
0.4854838709677419;0.018198;0.018693;0.018654
0.49516129032258066;0.014292000000000001;0.014946000000000001;0.015350999999999998
0.5048387096774194;0.010454999999999999;0.01101;0.011493000000000001
0.5145161290322581;0.007065000000000001;0.007411;0.007884
0.5241935483870968;0.004584;0.004611;0.004896
0.5338709677419355;0.003071;0.002826;0.002884
0.5435483870967742;0.0021672;0.0018327000000000003;0.0017400000000000002
0.5532258064516129;0.0016731;0.0013329000000000001;0.0012471
0.5629032258064517;0.001335;0.0010848000000000001;0.0010287
0.5725806451612904;0.0011223000000000001;0.0009606;0.0008724000000000001
0.582258064516129;0.0008835000000000001;0.0008378999999999999;0.0007662
0.5919354838709678;0.0007962;0.0007149;0.0006536000000000001
0.6016129032258064;0.0006835;0.000616;0.0005873
0.6112903225806452;0.0006414;0.0005691;0.0005006
0.620967741935484;0.0005065;0.0004867;0.00047480000000000005
0.6306451612903226;0.0004641;0.0004273;0.0003883
0.6403225806451613;0.0004322;0.00036920000000000003;0.0003902
0.65;0.0003665;0.0003532;0.00035380000000000003
