M1\M2;TC = 0.03 s;SEN Auto;3
0.0;-0.3;0.0;0.3
-0.2;0.008706;0.006889;0.006742000000000001
-0.15000000000000002;0.008022;0.006834000000000001;0.00675
-0.1;0.006798;0.007015;0.006732000000000001
-0.04999999999999999;0.006915999999999999;0.006960000000000001;0.006723000000000001
0.0;0.007026999999999999;0.006836;0.006834000000000001
0.04999999999999999;0.007137999999999999;0.007148000000000001;0.007123999999999999
0.10000000000000003;0.006262;0.0071129999999999995;0.007277
0.15000000000000002;0.004956;0.005715;0.0065840000000000004
0.2;0.003293;0.002971;0.002832
0.25;0.0018453;0.0015051;0.0012138
0.3;0.0010203;0.0008511000000000001;0.0007311
0.35000000000000003;0.0005975;0.0005935000000000001;0.0005294000000000001
0.4000000000000001;0.00041319999999999996;0.00037370000000000003;0.0004079
0.45;0.0003214;0.0003394;0.0003205
0.5;0.00023517;0.0002832;0.0002536
0.55;0.00019122;0.00017691;0.00022338
0.6;0.00014907;0.00015093000000000002;0.00016875
