M1\M2;TC = 0.03 s;SEN Auto;3
0.0;-0.3;0.0;0.3
0.2;0.0019353000000000003;0.0019023;0.0015753
0.21000000000000002;0.0017457;0.0017052;0.0014172
0.22;0.0015066;0.0014856;0.0012753
0.23;0.0013005;0.0013212;0.001113
0.24;0.0012225;0.0011802;0.0010005
0.25;0.0010806000000000001;0.0010539;0.0008823
0.26;0.0010215;0.0009855;0.0008700000000000001
0.27;0.0009348000000000001;0.0008787;0.0007563
0.28;0.0008547;0.0007974;0.0006853
0.29;0.0007746000000000001;0.0007514;0.0006443000000000001
0.3;0.0007557;0.0007094;0.0006305
0.31;0.0006972;0.0006923;0.0006145
0.32;0.0006431;0.0006360000000000001;0.0005896
0.32999999999999996;0.0005662;0.0006139;0.000539
0.33999999999999997;0.0005406;0.0005422;0.0005406
0.35;0.000488;0.0005315000000000001;0.0005327
0.36;0.0004617;0.0004758;0.0004593
0.37;0.0004611;0.0004234;0.000456
0.38;0.0004434;0.0004203;0.0004059
0.39;0.00037309999999999996;0.00039;0.0004011
0.39999999999999997;0.0003869;0.0003619;0.00033999999999999997
0.41;0.0003943;0.0003528;0.0003654
0.42;0.000354;0.00033410000000000004;0.000341
0.42999999999999994;0.0003321;0.0003303;0.0003058
0.43999999999999995;0.00032720000000000004;0.00030220000000000003;0.00032520000000000004
0.44999999999999996;0.0002874;0.0003117;0.0003294
0.45999999999999996;0.0002863;0.0002785;0.0002852
0.47;0.0002637;0.00026710000000000004;0.0002721
0.48;0.0002589;0.0002581;0.00024207000000000002
0.49;0.00022821;0.00027;0.00027381000000000004
0.49999999999999994;0.00021863999999999998;0.0002721;0.00024804
0.51;0.00021093000000000002;0.00021687000000000003;0.00021789000000000002
0.52;0.00022971;0.00021581999999999998;0.00023403
0.53;0.00017778;0.00021066000000000002;0.00024150000000000002
0.54;0.00019179;0.00020946000000000002;0.00022218
0.5499999999999999;0.00017484000000000003;0.00018765;0.00020568
0.5599999999999999;0.00018258;0.00018207;0.00018396000000000002
0.57;0.00017313000000000002;0.00018846;0.00022122000000000003
0.58;0.00014733000000000001;0.00018576;0.00019623
0.59;0.00016902;0.00015774000000000002;0.00021279
0.6;0.00017271000000000002;0.00018018;0.00015159
