M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6
0.0;-7.5;-7.4;-7.3;-7.2;-7.1;-7.0
0.3;0.0399;0.0396;0.0399;0.0396;0.0399;0.0393
0.34615384615384615;0.0399;0.0399;0.0396;0.0399;0.0393;0.0399
0.3923076923076923;0.0399;0.0402;0.0399;0.0399;0.0396;0.0399
0.43846153846153846;0.0399;0.0396;0.0396;0.0396;0.0396;0.0396
0.48461538461538467;0.0399;0.0402;0.0399;0.0402;0.0399;0.0396
0.5307692307692308;0.0402;0.0399;0.0399;0.0399;0.0396;0.0393
0.576923076923077;0.0378;0.0381;0.0384;0.0381;0.0381;0.0375
0.6230769230769231;0.0219;0.0219;0.0213;0.0213;0.0213;0.0216
0.6692307692307693;0.0027;0.0027;0.0033;0.0033;0.0036;0.0039
0.7153846153846155;0.0012;0.0012;0.0012;0.0009;0.0015;0.0015
0.7615384615384616;0.0012;0.0006;0.0009;0.0003;0.0006;0.0006
0.8076923076923077;0.0006;0.0003;0.0006;0.0009;0.0003;0.0009
0.8538461538461539;0.0006;0.0003;0.0006;0.0006;0.0012;0.0006
0.9;0.0003;0.0;0.0003;0.0006;0.0009;0.0006
