M1\M2;TC = 0.03 s;SEN = 0.1 V;3;4;5;6;7
0.0;-3.0;-2.0;-1.0;0.0;1.0;2.0;3.0
0.0;0.02802;0.028040000000000002;0.028110000000000003;0.0281;0.028090000000000004;0.028130000000000002;0.028110000000000003
0.1;0.02805;0.02806;0.0281;0.028110000000000003;0.028110000000000003;0.028140000000000002;0.028130000000000002
0.2;0.02806;0.028110000000000003;0.02815;0.02812;0.028140000000000002;0.028140000000000002;0.02817
0.30000000000000004;0.02805;0.028110000000000003;0.02812;0.02816;0.028130000000000002;0.02818;0.02816
0.4;0.027990000000000004;0.028110000000000003;0.02815;0.02816;0.028190000000000003;0.028190000000000003;0.02816
0.5;0.027610000000000003;0.02808;0.02816;0.0282;0.02818;0.028210000000000002;0.02822
0.6000000000000001;0.02611;0.027390000000000005;0.028090000000000004;0.028210000000000002;0.028210000000000002;0.028260000000000004;0.028240000000000005
0.7000000000000001;0.02369;0.0252;0.02683;0.027960000000000002;0.028240000000000005;0.02827;0.02828
0.8;0.020810000000000002;0.022070000000000003;0.02363;0.02575;0.027630000000000002;0.028310000000000002;0.028340000000000004
0.9;0.017470000000000003;0.01835;0.01938;0.02093;0.02329;0.02638;0.02843
1.0;0.0141;0.01441;0.01484;0.01545;0.016280000000000003;0.01776;0.021320000000000002
