M1\M2;TC = 0.03 s;SEN = 0.1 V;3;4;5;6
0.0;9.0;9.1;9.2;9.3;9.4;9.5
3.4;0.030040000000000004;0.03011;0.031070000000000004;0.031330000000000004;0.031470000000000005;0.03225
3.419512195121951;0.02955;0.03042;0.0301;0.03151;0.03144;0.032
3.4390243902439024;0.029790000000000004;0.03045;0.030870000000000005;0.031040000000000005;0.031240000000000004;0.03234
3.4585365853658536;0.029990000000000003;0.030080000000000003;0.03083;0.031270000000000006;0.03141;0.03306
3.478048780487805;0.02985;0.02978;0.031170000000000003;0.030780000000000002;0.03169;0.03219
3.497560975609756;0.03022;0.03028;0.03073;0.03073;0.031270000000000006;0.03245
3.5170731707317073;0.030060000000000003;0.03058;0.030930000000000003;0.03135;0.03236;0.031540000000000006
3.5365853658536586;0.0302;0.030510000000000002;0.02975;0.031560000000000005;0.031580000000000004;0.03196
3.55609756097561;0.029210000000000003;0.030410000000000003;0.03121;0.03135;0.03191;0.03239
3.575609756097561;0.0293;0.03085;0.03106;0.031070000000000004;0.0318;0.032170000000000004
3.5951219512195123;0.02975;0.030640000000000004;0.0312;0.030890000000000004;0.03134000000000001;0.03198
3.6146341463414635;0.02998;0.0303;0.0311;0.0313;0.032240000000000005;0.031810000000000005
3.6341463414634148;0.029540000000000004;0.03038;0.0305;0.03138;0.03159;0.031220000000000005
3.653658536585366;0.029310000000000003;0.02959;0.030369999999999998;0.03126;0.031030000000000002;0.03235
3.6731707317073172;0.02852;0.0283;0.02955;0.029869999999999997;0.03053;0.03081
3.6926829268292685;0.026260000000000002;0.02755;0.02787;0.028860000000000004;0.02957;0.03085
3.7121951219512197;0.02433;0.025110000000000004;0.02582;0.0272;0.0284;0.029019999999999997
3.731707317073171;0.021560000000000003;0.02275;0.023270000000000002;0.02444;0.025120000000000003;0.0258
3.751219512195122;0.01677;0.01674;0.017240000000000002;0.01802;0.018430000000000002;0.01897
3.770731707317073;0.010560000000000002;0.01054;0.01008;0.00961;0.010490000000000001;0.01007
3.790243902439024;0.0063300000000000006;0.006240000000000001;0.005730000000000001;0.00556;0.00519;0.005280000000000001
3.8097560975609754;0.00423;0.003940000000000001;0.00374;0.00322;0.00316;0.00285
3.8292682926829267;0.00281;0.00235;0.00225;0.00222;0.00205;0.0018900000000000002
3.848780487804878;0.00187;0.0016400000000000002;0.00152;0.0014600000000000001;0.00142;0.00134
3.868292682926829;0.00118;0.00119;0.0011;0.00103;0.00102;0.0009700000000000002
3.8878048780487804;0.00084;0.00091;0.00081;0.00079;0.0008200000000000001;0.00076
3.9073170731707316;0.00068;0.0006600000000000001;0.0006100000000000001;0.00067;0.00063;0.00062
3.926829268292683;0.00059;0.0005300000000000001;0.0005300000000000001;0.0005;0.00055;0.0005300000000000001
3.946341463414634;0.00046000000000000007;0.00046000000000000007;0.00046000000000000007;0.00048000000000000007;0.00044;0.00045
3.9658536585365853;0.00039000000000000005;0.00037;0.00036;0.00039000000000000005;0.0004;0.00038
3.9853658536585366;0.00033000000000000005;0.00031;0.00028000000000000003;0.00033000000000000005;0.00033000000000000005;0.00034
4.004878048780488;0.00031;0.00031;0.00025;0.0003;0.00027;0.00032
4.024390243902439;0.00026000000000000003;0.00027;0.00026000000000000003;0.00032;0.00025;0.00026000000000000003
4.04390243902439;0.00026000000000000003;0.00022;0.00023000000000000003;0.00026000000000000003;0.0002;0.00023000000000000003
4.0634146341463415;0.00021;0.00022;0.00021;0.00022;0.00023000000000000003;0.00022
4.082926829268293;0.0002;0.00018;0.00023000000000000003;0.00022;0.00016;0.00015
4.102439024390244;0.00014000000000000001;0.00019;0.0002;0.00021;0.00018;0.00015
4.121951219512195;0.00018;0.00016;0.00015;0.00015;0.00016;0.00015
4.1414634146341465;0.00013000000000000002;0.00012000000000000002;0.00014000000000000001;0.00015;8e-05;0.00015
4.160975609756098;0.00013000000000000002;0.00014000000000000001;0.00013000000000000002;9e-05;0.00012000000000000002;0.0001
4.180487804878049;6.000000000000001e-05;0.00015;0.00012000000000000002;0.00011;0.00012000000000000002;9e-05
4.2;0.00016;0.00012000000000000002;0.00011;0.00013000000000000002;0.00013000000000000002;0.00015
