M1\M2;TC = 0.03 s;SEN = 0.03 V;3;4;5;6;7;8
0.0;4.0;4.1;4.199999999999999;4.299999999999999;4.399999999999999;4.499999999999998;4.599999999999998;4.6999999999999975
0.0;0.014013;0.014070000000000001;0.014505;0.014681999999999999;0.014616;0.014562;0.014484;0.014619
0.05;0.014019;0.014031;0.014528999999999999;0.014739000000000002;0.014622;0.014580000000000001;0.014502000000000001;0.014634000000000001
0.1;0.014022;0.014058000000000001;0.014589000000000001;0.014766;0.014658000000000001;0.014553;0.014502000000000001;0.014703
0.15000000000000002;0.014145000000000001;0.014061;0.014603999999999999;0.014793;0.014634000000000001;0.014568000000000001;0.014541;0.014736
0.2;0.014142000000000002;0.014064000000000002;0.014628;0.014817000000000002;0.014685;0.01461;0.014553;0.014784
0.25;0.014169;0.014115;0.014672999999999999;0.014841;0.014672999999999999;0.014622;0.01461;0.014841
0.30000000000000004;0.014166;0.014130000000000002;0.014739000000000002;0.014892000000000002;0.014715;0.014672999999999999;0.014661000000000002;0.014922
0.35000000000000003;0.014319;0.014235;0.014922;0.014997;0.014856;0.014778;0.014796;0.015027
0.4;0.014256;0.014244;0.01494;0.015021000000000001;0.014892000000000002;0.014841;0.014841;0.015068999999999999
0.45;0.013818;0.013781999999999999;0.014463;0.014528999999999999;0.014372999999999999;0.014244;0.014214000000000001;0.014349
0.5;0.009306;0.009396000000000002;0.009975;0.01005;0.010047;0.010001999999999999;0.010005;0.010110000000000001
0.55;0.001962;0.0018510000000000002;0.001827;0.001779;0.001725;0.001704;0.001737;0.001755
0.6000000000000001;0.000675;0.000633;0.000621;0.000609;0.0006;0.000594;0.000597;0.0006270000000000001
0.65;0.000351;0.00033000000000000005;0.000321;0.000336;0.000312;0.000306;0.000315;0.000309
0.7000000000000001;0.000231;0.000213;0.000231;0.00021899999999999998;0.00021600000000000002;0.00020100000000000003;0.000204;0.00021600000000000002
0.75;0.00015900000000000002;0.000156;0.000156;0.000153;0.00015;0.000177;0.000177;0.000156
0.8;0.00011100000000000001;0.000126;0.00010800000000000001;0.00013800000000000002;0.000126;0.000117;0.00011100000000000001;0.000135
0.8500000000000001;0.00010800000000000001;9.300000000000001e-05;0.00011100000000000001;9.300000000000001e-05;0.00011999999999999999;0.00010800000000000001;0.000102;0.000114
0.9;9.9e-05;0.000126;9.9e-05;8.4e-05;9.300000000000001e-05;9e-05;9e-05;9e-05
0.9500000000000001;0.000114;0.000102;8.7e-05;9e-05;8.4e-05;7.8e-05;8.7e-05;7.8e-05
1.0;8.7e-05;9.300000000000001e-05;7.2e-05;9.9e-05;9.300000000000001e-05;8.4e-05;9e-05;8.4e-05
