"0.2_x","0.2_y","0.4_x","0.4_y","0.6_x","0.6_y","0.8_x","0.8_y"
0,9.27734375,0,5.859375,0,3.61328125,0,1.46484375,
0.5,12.20703125,0.5,8.203125,0.5,5.078125,0.5,2.44140625,
1,12.6953125,1,8.203125,1,4.98046875,1,1.953125,
1.5,11.42578125,1.5,6.25,1.5,3.90625,1.5,1.7578125,
