M1\M2;TC = 0.03 s;SEN = 0.1 V;3
0.0;7.5;8.0;8.5
3.4;0.034170000000000006;0.031330000000000004;0.02975
3.419512195121951;0.034010000000000006;0.031790000000000006;0.02938
3.4390243902439024;0.03474;0.03085;0.029110000000000004
3.4585365853658536;0.034460000000000005;0.030940000000000002;0.0299
3.478048780487805;0.034960000000000005;0.030760000000000003;0.029310000000000003
3.497560975609756;0.035160000000000004;0.030560000000000004;0.028190000000000003
3.5170731707317073;0.0354;0.03141;0.02885
3.5365853658536586;0.0345;0.03046;0.029
3.55609756097561;0.034010000000000006;0.03071;0.0286
3.575609756097561;0.03425;0.03021;0.02897
3.5951219512195123;0.03211;0.030060000000000003;0.027940000000000003
3.6146341463414635;0.030840000000000003;0.02887;0.027890000000000005
3.6341463414634148;0.02907;0.027880000000000002;0.027190000000000002
3.653658536585366;0.027490000000000004;0.025869999999999997;0.02638
3.6731707317073172;0.02553;0.02309;0.025690000000000004
3.6926829268292685;0.02279;0.02177;0.02271
3.7121951219512197;0.0213;0.02054;0.0213
3.731707317073171;0.01915;0.0186;0.018760000000000002
3.751219512195122;0.01798;0.0158;0.014720000000000002
3.770731707317073;0.01563;0.013130000000000001;0.01148
3.790243902439024;0.013370000000000002;0.01042;0.008180000000000002
3.8097560975609754;0.01095;0.00803;0.00592
3.8292682926829267;0.00852;0.005730000000000001;0.0037800000000000004
3.848780487804878;0.00645;0.0041400000000000005;0.0025800000000000003
3.868292682926829;0.00462;0.0027600000000000003;0.00175
3.8878048780487804;0.00319;0.0018800000000000002;0.0011600000000000002
3.9073170731707316;0.00234;0.0013;0.0009
3.926829268292683;0.00159;0.0008900000000000001;0.0006900000000000001
3.946341463414634;0.00118;0.0007;0.0005300000000000001
3.9658536585365853;0.0008700000000000001;0.00065;0.00041000000000000005
3.9853658536585366;0.0006600000000000001;0.00042;0.00032
4.004878048780488;0.00057;0.00038;0.00035
4.024390243902439;0.00043;0.00029000000000000006;0.00028000000000000003
4.04390243902439;0.00033000000000000005;0.00031;0.00025
4.0634146341463415;0.00029000000000000006;0.00021;0.00023000000000000003
4.082926829268293;0.00028000000000000003;0.00026000000000000003;0.00024000000000000003
4.102439024390244;0.00024000000000000003;0.00019;0.00019
4.121951219512195;0.00017;0.00016;0.00012000000000000002
4.1414634146341465;0.00017;0.00015;0.00016
4.160975609756098;0.00014000000000000001;0.00014000000000000001;0.00012000000000000002
4.180487804878049;0.00017;9e-05;0.00014000000000000001
4.2;0.00016;0.00012000000000000002;0.00012000000000000002
