M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7;8;9
0.0;-1.0;-0.5;0.0;0.5;1.0;1.5;2.0;2.5;3.0
-0.17;0.0387;0.0387;0.0378;0.0381;0.0381;0.0381;0.0375;0.0372;0.0375
-0.16022222222222224;0.0387;0.0381;0.0384;0.0381;0.0381;0.0381;0.0375;0.0375;0.0369
-0.15044444444444446;0.0387;0.0384;0.0378;0.0375;0.0381;0.0375;0.0372;0.0375;0.0375
-0.14066666666666666;0.0387;0.0387;0.0384;0.0381;0.0381;0.0375;0.0372;0.0375;0.0366
-0.1308888888888889;0.0387;0.0384;0.0384;0.0381;0.0375;0.0375;0.0378;0.0372;0.0372
-0.12111111111111111;0.0387;0.039;0.0381;0.0381;0.0375;0.0381;0.0372;0.0372;0.0366
-0.11133333333333334;0.0384;0.039;0.0384;0.0381;0.0381;0.0375;0.0375;0.0375;0.0366
-0.10155555555555555;0.0387;0.0384;0.0381;0.0378;0.0378;0.0378;0.0375;0.0372;0.0363
-0.09177777777777778;0.039;0.0384;0.0381;0.0384;0.0384;0.0378;0.0369;0.0375;0.0369
-0.082;0.0384;0.0387;0.0384;0.0381;0.0378;0.0378;0.0372;0.0375;0.0369
-0.07222222222222222;0.0387;0.0384;0.0381;0.0378;0.0375;0.0378;0.0375;0.0372;0.0363
-0.06244444444444444;0.039;0.0387;0.0384;0.0381;0.0381;0.0378;0.0372;0.0372;0.0363
-0.05266666666666667;0.039;0.0384;0.0387;0.0381;0.0381;0.0375;0.0372;0.0366;0.036
-0.04288888888888889;0.0384;0.0387;0.0384;0.0381;0.0381;0.0375;0.0372;0.0366;0.0363
-0.03311111111111109;0.0387;0.0387;0.0387;0.0384;0.0378;0.0375;0.0372;0.0363;0.0354
-0.023333333333333317;0.039;0.0387;0.0384;0.0384;0.0381;0.0375;0.0369;0.036;0.0354
-0.013555555555555543;0.039;0.0387;0.0381;0.0381;0.0378;0.0372;0.0366;0.036;0.0351
-0.003777777777777769;0.0393;0.039;0.0387;0.0381;0.0381;0.0369;0.0366;0.0354;0.0342
0.006000000000000005;0.0387;0.0384;0.0384;0.0381;0.0381;0.0375;0.0366;0.0354;0.0339
0.015777777777777807;0.039;0.0387;0.0384;0.0381;0.0381;0.0369;0.0363;0.0348;0.0333
0.02555555555555558;0.0384;0.0387;0.0387;0.0381;0.0375;0.0372;0.036;0.0342;0.0324
0.035333333333333355;0.039;0.0384;0.0387;0.0378;0.0375;0.0366;0.0357;0.0336;0.0315
0.04511111111111113;0.0387;0.0384;0.0387;0.0381;0.0375;0.036;0.0348;0.033;0.0312
0.054888888888888904;0.0387;0.039;0.0387;0.0381;0.0369;0.036;0.0342;0.0324;0.0303
0.06466666666666668;0.0384;0.0393;0.0381;0.0378;0.0375;0.0357;0.0333;0.0315;0.0294
0.07444444444444448;0.0387;0.0384;0.0381;0.0378;0.0369;0.0348;0.0324;0.0303;0.0285
0.08422222222222223;0.0381;0.0384;0.0384;0.0375;0.036;0.0339;0.0318;0.0294;0.0276
0.09400000000000006;0.0378;0.0384;0.0378;0.0375;0.0354;0.033;0.0312;0.0285;0.0267
0.10377777777777783;0.0378;0.0381;0.0375;0.0366;0.0348;0.0324;0.0294;0.0273;0.0258
0.1135555555555556;0.0369;0.0375;0.0369;0.0357;0.0336;0.0309;0.0279;0.0261;0.0255
0.12333333333333338;0.0369;0.0372;0.0363;0.0348;0.0324;0.0291;0.0273;0.0249;0.0246
0.13311111111111115;0.0357;0.0366;0.0357;0.0336;0.0303;0.0282;0.0252;0.0246;0.0237
0.14288888888888893;0.0342;0.0357;0.0351;0.0327;0.0294;0.0264;0.0246;0.0237;0.0225
0.1526666666666667;0.0312;0.0339;0.033;0.0306;0.0279;0.0252;0.0237;0.0225;0.0219
0.16244444444444447;0.0288;0.0294;0.0303;0.0279;0.0246;0.0243;0.0225;0.0219;0.021
0.17222222222222225;0.0249;0.0252;0.0261;0.0255;0.0234;0.0216;0.0201;0.0204;0.0201
0.18200000000000002;0.0201;0.0207;0.0207;0.0204;0.0201;0.0201;0.0198;0.0195;0.0195
0.1917777777777778;0.0147;0.0153;0.0147;0.0171;0.0168;0.0186;0.0186;0.0183;0.0183
0.20155555555555563;0.0111;0.0105;0.0108;0.0123;0.0147;0.0156;0.0171;0.0177;0.0177
0.2113333333333334;0.0081;0.0069;0.0078;0.0087;0.0117;0.0147;0.0153;0.0165;0.0168
0.22111111111111117;0.0051;0.0045;0.0045;0.0075;0.0108;0.0126;0.0147;0.0159;0.0162
0.23088888888888895;0.0045;0.0036;0.003;0.006;0.0084;0.0114;0.0129;0.015;0.015
0.24066666666666672;0.0033;0.0018;0.0027;0.0048;0.0069;0.0096;0.0117;0.0135;0.0147
0.25044444444444447;0.0027;0.0018;0.0024;0.0042;0.0057;0.0078;0.0105;0.0123;0.0141
0.26022222222222224;0.0018;0.0015;0.0021;0.003;0.0045;0.0066;0.0093;0.0111;0.0123
0.27;0.0018;0.0015;0.0018;0.0027;0.0036;0.0054;0.0075;0.0102;0.0117
