"0.2_x","0.2_y","0.4_x","0.4_y","0.6_x","0.6_y","0.8_x","0.8_y"
1.5,10.9375,1.5,7.32421875,1.5,4.296875,1.5,1.3671875,
2,12.59765625,2,7.12890625,2,4.00390625,2,1.07421875,
2.5,10.05859375,2.5,5.46875,2.5,3.125,2.5,1.07421875,
