M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6;7;8;9;10;11
0.0;-10.0;-8.0;-6.0;-4.0;-2.0;0.0;2.0;4.0;6.0;8.0;10.0
-2.0;0.022977;0.025890000000000003;0.02976;0.03588;0.03823;0.037110000000000004;0.03565;0.03384;0.03164;0.029090000000000005;0.0262
-1.5;0.023127;0.02611;0.030060000000000003;0.0362;0.03819;0.037040000000000003;0.03558;0.033690000000000005;0.03151;0.028940000000000004;0.02603
-1.0;0.023181;0.026260000000000002;0.0305;0.03646;0.0382;0.03697;0.035480000000000005;0.033620000000000004;0.03138;0.02876;0.02592
-0.5;0.019863;0.024204;0.030119999999999997;0.036590000000000004;0.03821;0.03698;0.03545;0.03359;0.031310000000000004;0.02868;0.025790000000000004
0.0;0.014262;0.016977000000000003;0.021762;0.028190000000000003;0.032290000000000006;0.03592000000000001;0.035480000000000005;0.03355;0.03128;0.028569999999999998;0.025690000000000004
0.5;0.007208;0.008055;0.009588;0.01068;0.010482;0.009894;0.009179999999999999;0.0078;0.0038380000000000003;0.013044;0.013461
1.0;0.002624;0.0022881;0.0018042000000000002;0.0011691000000000002;0.0005187999999999999;0.00021045000000000002;0.00013326;8.865e-05;9.705e-05;0.00018150000000000002;0.0003191
1.5;0.00024681000000000003;0.00015912;0.00011472;8.361000000000001e-05;7.546e-05;3.4110000000000004e-05;4.032e-05;3.266e-05;2.586e-05;3.935e-05;5.067900000000001e-05
2.0;3.991e-05;3.3714e-05;3.7770000000000006e-05;2.722e-05;2.9175e-05;3.8046e-05;2.7000000000000002e-05;3.8830000000000006e-05;3.0201e-05;4.4580000000000003e-05;2.7930000000000005e-05
