M1\M2;TC = 0.03 s;SEN = 0.30000000000000004 V;3;4;5;6
0.0;-1.0;-0.5;0.0;0.5;1.0;1.5
-0.5;0.015510000000000003;0.01554;0.0156;0.015510000000000003;0.01599;0.016020000000000003
-0.49;0.01554;0.01554;0.015570000000000002;0.01548;0.016110000000000003;0.01599
-0.48;0.015510000000000003;0.015510000000000003;0.0156;0.01554;0.01605;0.016020000000000003
-0.47;0.015510000000000003;0.01554;0.015570000000000002;0.0156;0.01608;0.01593
-0.46;0.015570000000000002;0.0156;0.015570000000000002;0.015570000000000002;0.01605;0.01599
-0.45;0.01554;0.01554;0.01548;0.01563;0.016020000000000003;0.015960000000000002
-0.44;0.01554;0.01554;0.015510000000000003;0.015570000000000002;0.01605;0.01599
-0.43;0.015510000000000003;0.01554;0.015570000000000002;0.01563;0.01599;0.01605
-0.42;0.01554;0.0156;0.0156;0.01563;0.01608;0.01599
-0.41000000000000003;0.01563;0.0156;0.01563;0.01563;0.01605;0.016020000000000003
-0.4;0.015660000000000004;0.015660000000000004;0.015660000000000004;0.015660000000000004;0.016110000000000003;0.01599
-0.39;0.01563;0.0156;0.0156;0.01563;0.01605;0.01599
-0.38;0.01554;0.0156;0.0156;0.01569;0.01605;0.01599
-0.37;0.01563;0.01563;0.01569;0.015660000000000004;0.01599;0.01605
-0.36;0.0156;0.0156;0.01563;0.01581;0.01605;0.01593
-0.35;0.01563;0.01569;0.015660000000000004;0.01572;0.01608;0.01593
-0.33999999999999997;0.01569;0.01569;0.01569;0.015780000000000002;0.01608;0.015960000000000002
-0.32999999999999996;0.01563;0.01572;0.015660000000000004;0.01572;0.01599;0.01599
-0.32;0.01569;0.015660000000000004;0.01572;0.01581;0.016110000000000003;0.016020000000000003
-0.31;0.01575;0.015660000000000004;0.0156;0.01575;0.01605;0.01599
-0.3;0.01575;0.01569;0.01569;0.015780000000000002;0.016020000000000003;0.015960000000000002
-0.29000000000000004;0.015780000000000002;0.01569;0.01572;0.015780000000000002;0.016020000000000003;0.01593
-0.28;0.01575;0.01572;0.01572;0.015870000000000002;0.01605;0.01584
-0.27;0.015780000000000002;0.015780000000000002;0.01569;0.01581;0.01605;0.0159
-0.26;0.015870000000000002;0.01581;0.015780000000000002;0.01584;0.01605;0.01593
-0.25;0.015870000000000002;0.01575;0.015780000000000002;0.0159;0.016020000000000003;0.01575
-0.24;0.01584;0.01584;0.01575;0.01581;0.01599;0.01572
-0.22999999999999998;0.015870000000000002;0.01581;0.015780000000000002;0.015870000000000002;0.015960000000000002;0.01563
