"FTM Limite diffraction_x","FTM Limite diffraction_y","1.5_x","1.5_y","2.0_x","2.0_y","2.5_x","2.5_y"
1.406321277,0.8996420936,5.078125,0.540656742,5.078125,0.5330398435,5.078125,0.4224716154,
1.433365917,0.8977165729,5.17578125,0.535240375,5.17578125,0.529399305,5.17578125,0.4171011824,
1.460410557,0.8957913063,5.2734375,0.5300661647,5.2734375,0.5258229857,5.2734375,0.4121984641,
1.487455197,0.8938662985,5.37109375,0.5250407841,5.37109375,0.5221777809,5.37109375,0.4076537008,
1.514499837,0.8919415545,5.46875,0.5200722509,5.46875,0.5183385728,5.46875,0.4033485793,
1.541544477,0.890017079,5.56640625,0.5150741219,5.56640625,0.5141945403,5.56640625,0.3991606352,
1.568589117,0.888092877,5.6640625,0.5099693751,5.6640625,0.5096549576,5.6640625,0.3949680224,
1.595633757,0.8861689531,5.76171875,0.5046938198,5.76171875,0.504654026,5.76171875,0.3906545283,
1.622678397,0.8842453124,5.859375,0.4991988577,5.859375,0.4991542873,5.859375,0.3861145936,
1.649723037,0.8823219596,5.95703125,0.4934534182,5.95703125,0.4931482401,5.95703125,0.3812580141,
1.676767677,0.8803988995,6.0546875,0.4874449175,6.0546875,0.4866579131,6.0546875,0.3760139781,
1.703812317,0.878476137,6.15234375,0.4811791394,6.15234375,0.4797323337,6.15234375,0.3703341166,
1.730856957,0.8765536771,6.25,0.4746790088,6.25,0.4724430314,6.25,0.3641943246,
1.757901597,0.8746315244,6.34765625,0.4679823132,6.34765625,0.4648779273,6.34765625,0.3575952102,
1.784946237,0.8727096839,6.4453125,0.4611385166,6.4453125,0.4571341504,6.4453125,0.3505611578,
1.811990877,0.8707881605,6.54296875,0.4542048954,6.54296875,0.4493104591,6.54296875,0.3431381056,
1.839035516,0.868866959,6.640625,0.4472422929,6.640625,0.4415000132,6.640625,0.33539025,
1.866080156,0.8669460842,6.73828125,0.4403108291,6.73828125,0.4337842113,6.73828125,0.3273959748,
1.893124796,0.8650255411,6.8359375,0.4334659129,6.8359375,0.4262281733,6.8359375,0.3192433589,
1.920169436,0.8631053344,6.93359375,0.4267548661,6.93359375,0.418878223,6.93359375,0.3110256359,
1.947214076,0.8611854692,7.03125,0.4202144055,7.03125,0.4117614378,7.03125,0.3028369598,
1.974258716,0.8592659502,7.12890625,0.4138691284,7.12890625,0.4048870489,7.12890625,0.2947687721,
2.001303356,0.8573467823,7.2265625,0.4077310355,7.2265625,0.3982492378,7.2265625,0.2869069721,
2.028347996,0.8554279705,7.32421875,0.4018000167,7.32421875,0.3918307475,7.32421875,0.2793299712,
2.055392636,0.8535095195,7.421875,0.3960651366,7.421875,0.3856067205,7.421875,0.2721075875,
2.082437276,0.8515914344,7.51953125,0.3905065049,7.51953125,0.3795482875,7.51953125,0.2653006202,
2.109481916,0.8496737199,7.6171875,0.3850975001,7.6171875,0.3736256221,7.6171875,0.2589608593,
2.136526556,0.8477563809,7.71484375,0.3798071378,7.71484375,0.3678103852,7.71484375,0.2531312514,
2.163571196,0.8458394225,7.8125,0.3746024206,7.8125,0.3620776671,7.8125,0.247845963,
2.190615836,0.8439228494,7.91015625,0.3694505605,7.91015625,0.3564076359,7.91015625,0.2431301531,
2.217660476,0.8420066666,8.0078125,0.3643210148,8.0078125,0.3507871075,8.0078125,0.2389993763,
2.244705116,0.840090879,8.10546875,0.3591873075,8.10546875,0.3452111631,8.10546875,0.2354586563,
2.271749756,0.8381754914,8.203125,0.3540286168,8.203125,0.3396847817,8.203125,0.2325013786,
2.298794396,0.8362605089,8.30078125,0.3488310987,8.30078125,0.3342242695,8.30078125,0.2301082146,
2.325839036,0.8343459362,8.3984375,0.3435888867,8.3984375,0.3288581034,8.3984375,0.2282463121,
2.352883675,0.8324317784,8.49609375,0.3383046809,8.49609375,0.3236267146,8.49609375,0.2268689496,
2.379928315,0.8305180404,8.59375,0.3329898141,8.59375,0.3185807513,8.59375,0.225915785,
2.406972955,0.8286047271,8.69140625,0.3276636806,8.69140625,0.3137775093,8.69140625,0.225313747,
2.434017595,0.8266918433,8.7890625,0.3223524369,8.7890625,0.3092754977,8.7890625,0.2249785439,
2.461062235,0.8247793942,8.88671875,0.3170869368,8.88671875,0.3051274883,8.88671875,0.2248167168,
2.488106875,0.8228673845,8.984375,0.311899949,8.984375,0.3013728072,8.984375,0.2247281473,
2.515151515,0.8209558193,9.08203125,0.3068228075,9.08203125,0.2980299762,9.08203125,0.2246089321,
2.542196155,0.8190447034,9.1796875,0.3018817554,9.1796875,0.2950909712,9.1796875,0.2243545494,
2.569240795,0.8171340419,9.27734375,0.2970943364,9.27734375,0.2925182578,9.27734375,0.2238632519,
2.596285435,0.8152238396,9.375,0.292466246,9.375,0.2902453664,9.375,0.2230396159,
2.623330075,0.8133141016,9.47265625,0.287989051,9.47265625,0.2881811583,9.47265625,0.2217981576,
2.650374715,0.8114048328,9.5703125,0.2836391154,9.5703125,0.2862172677,9.5703125,0.2200668973,
2.677419355,0.8094960382,9.66796875,0.2793779387,9.66796875,0.284237656,9.66796875,0.2177907226,
2.704463995,0.8075877227,9.765625,0.2751539343,9.765625,0.282128912,9.765625,0.2149343716,
2.731508635,0.8056798913,9.86328125,0.2709054933,9.86328125,0.2797899206,9.86328125,0.2114848444,
2.758553275,0.8037725489,9.9609375,0.2665650206,9.9609375,0.2771397461,9.9609375,0.2074530537,
