M1\M2;TC = 0.03 s;SEN = 0.1 V;3
0.0;-5.0;-2.5;0.0
0.0;0.04863;0.048260000000000004;0.04866
0.1;0.048510000000000005;0.04802000000000001;0.0484
0.2;0.048420000000000005;0.04855;0.04843
0.30000000000000004;0.04864;0.04852000000000001;0.047990000000000005
0.4;0.047580000000000004;0.04816;0.04668
0.5;0.04241;0.047970000000000006;0.040870000000000004
0.6000000000000001;0.0264;0.028040000000000002;0.02492
0.7000000000000001;0.009330000000000001;0.00221;0.0091
0.8;0.0025;0.0008700000000000001;0.0019700000000000004
0.9;0.00102;0.00036;0.0006100000000000001
1.0;0.00048000000000000007;0.00018;0.00031
