M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6;7
0.0;6.0;6.5;7.0;7.5;8.0;8.5;9.0
0.0;0.018915;0.015345000000000001;0.015350999999999998;0.015192000000000002;0.015153;0.015156000000000001;0.015174000000000002
0.01;0.017381999999999998;0.015378;0.015324;0.01521;0.015171;0.015183000000000002;0.015147
0.02;0.016475999999999998;0.015390000000000001;0.015315;0.015201;0.015168000000000001;0.015128999999999998;0.015128999999999998
0.03;0.016068;0.015411000000000001;0.015453;0.015243000000000001;0.015186000000000002;0.015144;0.015183000000000002
0.04;0.015753;0.015342000000000001;0.015315;0.015290999999999999;0.015186000000000002;0.015147;0.015258
0.05;0.015597;0.015327;0.015264000000000002;0.015309;0.015225;0.01515;0.015272999999999998
0.06;0.015606;0.015378;0.015258;0.015246000000000001;0.01524;0.015171;0.015255000000000001
0.07;0.015501;0.015363;0.015270000000000002;0.015258;0.015203999999999999;0.015219;0.015276
0.08;0.01554;0.015342000000000001;0.015228;0.015212999999999999;0.015195000000000002;0.015186000000000002;0.015255000000000001
0.09;0.015492000000000002;0.015345000000000001;0.015297;0.015234000000000001;0.015128999999999998;0.015174000000000002;0.015330000000000002
0.1;0.015417000000000002;0.015372;0.015356999999999999;0.015255000000000001;0.015165000000000001;0.01518;0.015261000000000002
0.11;0.015339000000000002;0.015390000000000001;0.015359999999999999;0.015294;0.015258;0.015186000000000002;0.015315
0.12;0.015390000000000001;0.015390000000000001;0.015399000000000001;0.015249;0.015297;0.015171;0.015258
0.13;0.015405;0.015375;0.015390000000000001;0.015264000000000002;0.015333000000000001;0.015156000000000001;0.015270000000000002
0.14;0.015456000000000001;0.015368999999999999;0.015387;0.015272999999999998;0.015327;0.015153;0.015324
0.15;0.015378;0.015375;0.015279;0.015321000000000001;0.015423;0.015272999999999998;0.015345000000000001
0.16;0.01551;0.015486000000000002;0.015381;0.015306;0.015363;0.015174000000000002;0.015306
0.17;0.01548;0.015366;0.015378;0.015318;0.015297;0.015174000000000002;0.015318
0.18;0.01545;0.015347999999999999;0.015356999999999999;0.015285;0.015336;0.015192000000000002;0.015285
0.19;0.015516;0.015345000000000001;0.015393;0.015368999999999999;0.015350999999999998;0.015216;0.015327
0.2;0.015570000000000002;0.015318;0.015309;0.015420000000000001;0.015321000000000001;0.015342000000000001;0.0153
0.21;0.015621000000000001;0.015425999999999999;0.015342000000000001;0.015402;0.015339000000000002;0.015294;0.015432
