M1\M2;TC = 0.03 s;SEN = 0.30000000000000004 V;3;4;5;6;7
0.0;-2.0;-1.5;-1.0;-0.5;0.0;0.5;1.0
-0.3;0.0177;0.01767;0.01764;0.0177;0.017730000000000003;0.01764;0.0177
-0.29;0.017730000000000003;0.0177;0.0177;0.0177;0.017730000000000003;0.01767;0.0177
-0.27999999999999997;0.017730000000000003;0.0177;0.0177;0.0177;0.0177;0.01776;0.017730000000000003
-0.27;0.0177;0.0177;0.017730000000000003;0.0177;0.0177;0.0177;0.017730000000000003
-0.26;0.0177;0.0177;0.0177;0.0177;0.01767;0.0177;0.0177
-0.25;0.017730000000000003;0.0177;0.017730000000000003;0.01767;0.0177;0.017730000000000003;0.0177
-0.24;0.0177;0.017730000000000003;0.01776;0.017730000000000003;0.0177;0.0177;0.0177
-0.22999999999999998;0.0177;0.01776;0.0177;0.01776;0.0177;0.0177;0.01776
-0.21999999999999997;0.01776;0.01776;0.01776;0.0177;0.0177;0.017730000000000003;0.0177
-0.21;0.017730000000000003;0.01779;0.017730000000000003;0.017730000000000003;0.017730000000000003;0.017730000000000003;0.01779
-0.19999999999999998;0.01776;0.017730000000000003;0.01779;0.0177;0.01776;0.0177;0.0177
-0.19;0.01779;0.01779;0.017730000000000003;0.0177;0.01776;0.0177;0.017730000000000003
-0.18;0.017820000000000003;0.01779;0.0177;0.0177;0.01776;0.0177;0.0177
-0.16999999999999998;0.01779;0.01776;0.017730000000000003;0.0177;0.01776;0.017730000000000003;0.0177
-0.15999999999999998;0.017820000000000003;0.01779;0.01779;0.017730000000000003;0.01779;0.01764;0.0177
-0.15;0.017820000000000003;0.01779;0.017820000000000003;0.017730000000000003;0.01776;0.01764;0.01761
-0.13999999999999999;0.01785;0.017820000000000003;0.01779;0.01776;0.01764;0.0177;0.01767
-0.12999999999999998;0.017820000000000003;0.01785;0.01776;0.017730000000000003;0.01764;0.01764;0.01761
-0.12;0.017820000000000003;0.017820000000000003;0.017820000000000003;0.0177;0.017730000000000003;0.01764;0.01761
-0.10999999999999999;0.017820000000000003;0.017820000000000003;0.017820000000000003;0.01779;0.01776;0.0177;0.01755
-0.09999999999999998;0.01785;0.017820000000000003;0.017820000000000003;0.01779;0.01776;0.017730000000000003;0.01752
-0.09;0.01788;0.017820000000000003;0.017820000000000003;0.01776;0.01776;0.01761;0.017490000000000002
-0.07999999999999999;0.01788;0.017820000000000003;0.017820000000000003;0.017820000000000003;0.017820000000000003;0.01761;0.01743
-0.06999999999999998;0.01785;0.01788;0.01785;0.017820000000000003;0.01776;0.017580000000000002;0.01725
-0.06;0.01785;0.01788;0.017910000000000002;0.017820000000000003;0.01776;0.01752;0.01716
-0.04999999999999999;0.017820000000000003;0.01788;0.017910000000000002;0.01788;0.017730000000000003;0.01737;0.01692
-0.03999999999999998;0.01779;0.01794;0.017910000000000002;0.01788;0.01764;0.01728;0.01665
-0.02999999999999997;0.017730000000000003;0.01788;0.017910000000000002;0.017820000000000003;0.017580000000000002;0.01716;0.01632
-0.019999999999999962;0.01764;0.017820000000000003;0.017910000000000002;0.01779;0.017460000000000003;0.0168;0.01593
-0.010000000000000009;0.01752;0.01788;0.01788;0.017730000000000003;0.01728;0.01644;0.015390000000000001
0.0;0.017460000000000003;0.01785;0.01785;0.01755;0.017070000000000002;0.016110000000000003;0.014759999999999999
0.010000000000000009;0.0174;0.017820000000000003;0.017820000000000003;0.0174;0.016710000000000003;0.015570000000000002;0.014159999999999999
0.020000000000000018;0.01716;0.01761;0.01764;0.0171;0.01623;0.01488;0.013470000000000001
0.030000000000000027;0.01674;0.01737;0.01743;0.01683;0.015660000000000004;0.014280000000000001;0.01272
0.040000000000000036;0.016110000000000003;0.016980000000000002;0.01704;0.016380000000000002;0.015030000000000002;0.0135;0.011940000000000001
0.050000000000000044;0.01524;0.01632;0.016470000000000002;0.01569;0.014159999999999999;0.01245;0.011130000000000001
0.06;0.014190000000000001;0.0153;0.015420000000000001;0.014520000000000002;0.013080000000000001;0.011430000000000001;0.01035
0.07;0.01284;0.01383;0.013770000000000001;0.0129;0.01161;0.01038;0.00957
0.08000000000000002;0.011160000000000002;0.011580000000000002;0.01125;0.010620000000000001;0.0099;0.009210000000000001;0.00876
0.09000000000000002;0.00927;0.00906;0.008730000000000002;0.00822;0.008010000000000001;0.008010000000000001;0.008010000000000001
0.10000000000000003;0.007410000000000001;0.006540000000000001;0.00576;0.00591;0.0063;0.006840000000000001;0.007260000000000001
0.11000000000000004;0.00576;0.0045;0.0037800000000000004;0.00396;0.00477;0.0058200000000000005;0.006540000000000001
0.12;0.00435;0.0029400000000000003;0.00228;0.0025800000000000003;0.00375;0.00489;0.0058200000000000005
0.13;0.0033300000000000005;0.00201;0.0014700000000000002;0.00183;0.0029100000000000003;0.00408;0.0051
0.14;0.0026400000000000004;0.0014700000000000002;0.00105;0.0014700000000000002;0.00237;0.0034200000000000003;0.00441
0.15000000000000002;0.0020700000000000002;0.00114;0.0008700000000000001;0.00114;0.00186;0.00285;0.00375
0.16000000000000003;0.00165;0.00093;0.00072;0.0009600000000000001;0.0015300000000000001;0.00231;0.00318
0.17000000000000004;0.0012900000000000001;0.00075;0.0006;0.00081;0.0012;0.00186;0.0027
0.18;0.00105;0.0006;0.00054;0.0006600000000000001;0.00093;0.0015600000000000002;0.00231
0.19;0.0008700000000000001;0.00054;0.00045;0.00057;0.00081;0.00123;0.00195
0.2;0.0006900000000000001;0.00045;0.00036;0.00045;0.0006900000000000001;0.00108;0.00165
0.21000000000000002;0.00063;0.00045;0.00036;0.00042;0.00057;0.0009;0.0013800000000000002
0.22000000000000003;0.00054;0.00039000000000000005;0.00033000000000000005;0.00039000000000000005;0.00051;0.00081;0.00111
0.23000000000000004;0.00048000000000000007;0.00033000000000000005;0.0003;0.00033000000000000005;0.00045;0.00063;0.00099
0.24000000000000005;0.00039000000000000005;0.00033000000000000005;0.00027;0.00033000000000000005;0.00036;0.00057;0.00084
0.25000000000000006;0.00036;0.00027;0.00024000000000000003;0.00024000000000000003;0.00036;0.00045;0.00072
0.26000000000000006;0.0003;0.00024000000000000003;0.00018;0.00024000000000000003;0.00033000000000000005;0.00048000000000000007;0.0006
0.2700000000000001;0.00027;0.00024000000000000003;0.00021;0.00027;0.0003;0.00042;0.00054
0.27999999999999997;0.00027;0.00021;0.00018;0.00021;0.00027;0.00036;0.00054
0.29;0.00021;0.00021;0.00018;0.00024000000000000003;0.00027;0.00033000000000000005;0.00048000000000000007
0.3;0.00021;0.00015;0.00018;0.00018;0.00024000000000000003;0.00033000000000000005;0.00045
0.31;0.00018;0.00015;0.00015;0.00021;0.00021;0.0003;0.00039000000000000005
0.32;0.00021;0.00015;0.00015;0.00015;0.00021;0.00039000000000000005;0.00039000000000000005
0.33;0.00018;0.00018;0.00015;0.00015;0.00018;0.0003;0.00042
0.34;0.00018;0.00015;0.00012000000000000002;0.00015;0.00024000000000000003;0.0003;0.00033000000000000005
0.35000000000000003;0.00015;0.00015;0.00012000000000000002;0.00015;0.00018;0.00027;0.00036
0.36000000000000004;0.00012000000000000002;9e-05;9e-05;0.00015;0.00024000000000000003;0.00021;0.0003
0.37000000000000005;6.000000000000001e-05;9e-05;9e-05;0.00015;0.00015;0.00024000000000000003;0.00027
0.38000000000000006;0.00015;0.00012000000000000002;9e-05;0.00015;0.00015;0.00021;0.00024000000000000003
0.39000000000000007;9e-05;9e-05;9e-05;9e-05;0.00018;0.00021;0.00018
0.4;0.00012000000000000002;9e-05;9e-05;0.00012000000000000002;0.00012000000000000002;0.00012000000000000002;0.00018
