M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6;7
1.55;0.0007698000000000001;0.0005963;0.0005142;0.000355;0.00032869999999999997;0.00029502;0.0002691
1.56;0.0007242;0.0005595;0.000439;0.0003612;0.0003209;0.00028551;0.00023106
1.57;0.0006519;0.00048150000000000005;0.0004088;0.00029340000000000003;0.0003093;0.00027366;0.00026517
1.58;0.0005984;0.0004469;0.0003295;0.0002965;0.00026961;0.00022788;0.00025302
1.5899999999999999;0.0005096;0.00042140000000000005;0.0003435;0.00027120000000000003;0.0002817;0.00023028;0.00022548
1.6;0.00043630000000000003;0.0004473;0.0003798;0.00024588;0.00029916000000000003;0.00023187000000000001;0.00026499
1.6099999999999999;0.00043650000000000004;0.0003392;0.0003584;0.00026304000000000003;0.00023103000000000002;0.00019473;0.00025932
1.62;0.0003973;0.0002928;0.00025790000000000003;0.00024660000000000003;0.00025296000000000004;0.00021270000000000002;0.00019461
1.63;0.0003284;0.0002694;0.00026480000000000004;0.00023556;0.00022455000000000004;0.00024114;0.00019452
1.6400000000000001;0.0003513;0.00029130000000000003;0.0002582;0.00023991000000000003;0.00022422;0.00020028;0.00020103
1.65;0.0003593;0.0002715;0.0002769;0.00021912000000000003;0.00015099;0.0001977;0.00019914
1.6600000000000001;0.00025699999999999996;0.0002765;0.00027120000000000003;0.00022581000000000004;0.00022518000000000004;0.00019866000000000003;0.00019647000000000002
1.67;0.00024684;0.00021069;0.00023493;0.00020733;0.00016404;0.00016179;0.00018393
1.6800000000000002;0.00024594;0.00022797;0.00023760000000000003;0.00016614;0.00020499;0.00016104000000000002;0.00016656
1.69;0.00022611;0.00023385000000000002;0.00021720000000000002;0.00021729000000000003;0.00014883000000000002;0.00018213000000000002;0.00015096
1.7000000000000002;0.00023013;0.00021348000000000002;0.00017694;0.00019272;0.00015465;0.0002109;0.00016725
1.71;0.00023472;0.00020514;0.00022050000000000002;0.00016455000000000002;0.00015846;0.00017004000000000002;0.00019338000000000002
1.72;0.00020229;0.00019857;0.00016719;0.00014487000000000001;0.00018123;0.00016908;0.00016803
1.73;0.00023508;0.00020295;0.00016392;0.00015387000000000002;0.00013593;0.00017853;0.00018957000000000002
1.74;0.00015041999999999999;0.00017511000000000002;0.00017124000000000002;0.00016287;0.00019488;0.00016995;0.00012228
1.75;0.00019242;0.00018042;0.00013716000000000002;0.00013839;0.00013017;0.00010155;0.00015111
1.76;0.00015102;0.00014763000000000002;0.00014961;0.00019059;0.00017667000000000003;0.00017184;0.00014523000000000002
1.77;0.00022773000000000004;0.00018234000000000002;0.00012678;0.00012711000000000002;0.00014544000000000002;0.00014406;0.0001896
1.78;0.00017553;0.00016845;0.00013293000000000002;0.00015924;0.00011994000000000001;0.00015810000000000002;0.0001296
1.79;0.0001677;0.00012705;0.00015207000000000003;0.00012867;0.0001431;0.0001071;0.00016515000000000003
1.8;0.00011997;0.00012111000000000001;0.00015645;0.00015222;0.00012561;0.00012534000000000002;0.00013137
