M1\M2;TC = 0.03 s;SEN = 0.30000000000000004 V;3;4;5
0.0;-2.0;-1.0;0.0;1.0;2.0
-0.5;0.017580000000000002;0.01755;0.01764;0.01761;0.01767
-0.45;0.01761;0.01767;0.0177;0.01764;0.017730000000000003
-0.4;0.01761;0.01764;0.01767;0.017730000000000003;0.0177
-0.35;0.01764;0.01764;0.01776;0.0177;0.017730000000000003
-0.3;0.01761;0.01767;0.017730000000000003;0.0177;0.017730000000000003
-0.25;0.017730000000000003;0.0177;0.017730000000000003;0.01779;0.0177
-0.19999999999999996;0.017730000000000003;0.017730000000000003;0.01779;0.017730000000000003;0.01752
-0.14999999999999997;0.01776;0.01779;0.01776;0.01764;0.01734
-0.09999999999999998;0.01785;0.01776;0.01776;0.01764;0.01677
-0.04999999999999999;0.017820000000000003;0.017820000000000003;0.017820000000000003;0.01695;0.015120000000000001
0.0;0.017490000000000002;0.01785;0.01704;0.014820000000000002;0.01245
0.050000000000000044;0.015330000000000002;0.01653;0.014190000000000001;0.011130000000000001;0.009810000000000001
0.10000000000000009;0.007410000000000001;0.005940000000000001;0.00636;0.0072900000000000005;0.0075
0.15000000000000002;0.0020700000000000002;0.0008700000000000001;0.00195;0.0037800000000000004;0.00519
0.20000000000000007;0.00072;0.00042;0.0006900000000000001;0.00168;0.0030900000000000003
0.25;0.00033000000000000005;0.00024000000000000003;0.00036;0.00072;0.00162
0.30000000000000004;0.00021;0.00015;0.00027;0.00045;0.00084
0.3500000000000001;0.00012000000000000002;0.00015;0.00018;0.0003;0.00054
0.4;9e-05;0.00012000000000000002;0.00012000000000000002;0.00018;0.00027
0.45000000000000007;9e-05;9e-05;0.00012000000000000002;9e-05;0.00021
0.5;6.000000000000001e-05;6.000000000000001e-05;6.000000000000001e-05;9e-05;9e-05
