M1\M2;TC = 0.03 s;SEN Auto;3;4;5
0.0;-1.0;-0.5;0.0;0.5;1.0
0.0;0.018909;0.018762;0.018834;0.018813;0.018834
0.05;0.018876;0.018939;0.018864000000000002;0.018822;0.018867000000000002
0.1;0.018708000000000002;0.019284;0.018867000000000002;0.018858;0.018933000000000002
0.15000000000000002;0.018393;0.019119;0.018954;0.018855;0.019167
0.2;0.017828999999999998;0.018657;0.018609;0.018738;0.019020000000000002
0.25;0.016995000000000003;0.017928;0.018045000000000002;0.018408;0.018789
0.30000000000000004;0.015969;0.016890000000000002;0.017181000000000002;0.017823;0.018303
0.35000000000000003;0.014901;0.015663;0.016005000000000002;0.016713;0.017385
0.4;0.0138;0.014397;0.014628;0.015153;0.015906
0.45;0.012756;0.013281;0.013380000000000001;0.013764000000000002;0.014247
0.5;0.011745;0.012096;0.01215;0.012309;0.012639
0.55;0.010487999999999999;0.010641;0.010482;0.010392;0.010359
0.6000000000000001;0.008943000000000001;0.008868000000000001;0.008421000000000001;0.008019;0.0075239999999999994
0.65;0.007278;0.0068909999999999996;0.006304;0.005681;0.004935
0.7000000000000001;0.0054870000000000006;0.004959000000000001;0.004298000000000001;0.003588;0.002839
0.75;0.0038800000000000006;0.003353;0.002657;0.0020304000000000003;0.0015156
0.8;0.002562;0.0020315999999999997;0.0015474;0.0010989;0.0007749
0.8500000000000001;0.0015726000000000002;0.001194;0.0008880000000000001;0.0006015;0.0004155
0.9;0.0009393000000000001;0.0007029;0.00047969999999999995;0.00031099999999999997;0.00022965
0.9500000000000001;0.0005491000000000001;0.0004019;0.00026859999999999997;0.00020247;0.00017355000000000002
1.0;0.00032280000000000004;0.0002503;0.00017964;0.00017127;0.00017982
