M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6;7;8;9
0.0;4.0;4.5;5.0;5.5;6.0;6.5;7.0;7.5;8.0
0.2;0.021818999999999998;0.019527000000000003;0.019518;0.019533000000000002;0.019623;0.019728;0.020181;0.020181;0.01989
0.2098360655737705;0.020997;0.019572;0.019644;0.019533000000000002;0.019758;0.019767000000000003;0.020262;0.020112;0.019857
0.219672131147541;0.020394;0.019575;0.01956;0.019482;0.019842000000000002;0.019812;0.020355;0.020046;0.019788
0.22950819672131148;0.020000999999999998;0.019554;0.019668;0.01971;0.019857;0.019722;0.020235;0.019887000000000002;0.019716
0.239344262295082;0.019719;0.01959;0.019644;0.019620000000000002;0.019914;0.019845;0.020277;0.019836000000000003;0.019473
0.24918032786885247;0.019530000000000002;0.019443000000000002;0.019647;0.019758;0.02001;0.019845;0.020247;0.019725;0.019212
0.25901639344262295;0.019181999999999998;0.019419;0.019755;0.019749;0.020031;0.01983;0.020112;0.019461000000000003;0.018744
0.26885245901639343;0.019014000000000003;0.019323000000000003;0.019692;0.019788;0.020106;0.019911;0.019953;0.019146;0.018381
0.27868852459016397;0.018687;0.019137;0.019704;0.019854;0.020058000000000003;0.019668;0.019725;0.018675;0.017781
0.28852459016393445;0.018405;0.018927;0.019556999999999998;0.019865999999999998;0.019983;0.019506;0.019278;0.018153;0.01734
0.2983606557377049;0.018132;0.01881;0.019533000000000002;0.019712999999999998;0.019815;0.019368;0.019014000000000003;0.017694;0.016506
0.30819672131147546;0.01785;0.018591;0.019305000000000003;0.019692;0.019647;0.019131;0.018537;0.016809;0.015795
0.31803278688524594;0.017385;0.018324;0.019125;0.019581;0.019389;0.0189;0.017991;0.016197;0.014832
0.3278688524590164;0.017085;0.018105;0.019005;0.019353;0.018705;0.018162;0.017169;0.015261000000000002;0.014223
0.3377049180327869;0.016536000000000002;0.017553;0.018588;0.018996000000000002;0.017889000000000002;0.017169;0.016068;0.014295000000000002;0.013152
0.3475409836065574;0.015669;0.016995000000000003;0.017922;0.017828999999999998;0.016377000000000003;0.015663;0.014646000000000001;0.013308;0.012231
0.35737704918032787;0.01485;0.015747;0.016926;0.016257;0.013914000000000001;0.013338;0.012915000000000001;0.011889;0.011262000000000001
0.36721311475409835;0.013848;0.014376;0.015618;0.014274;0.010875;0.011208;0.011436;0.010611;0.009966
0.3770491803278689;0.012486;0.012981;0.013743;0.011319;0.009168;0.008355;0.009207;0.009162;0.009078
0.38688524590163936;0.011478;0.01125;0.01155;0.008934000000000001;0.006113;0.006653;0.007589;0.007734;0.008355
0.3967213114754099;0.010434;0.009333;0.009288;0.006985000000000001;0.004;0.004273000000000001;0.005563;0.006522;0.007629
0.4065573770491804;0.009147;0.008196;0.007624;0.0046240000000000005;0.002537;0.002938;0.0043219999999999995;0.005855000000000001;0.006946000000000001
0.41639344262295086;0.008457000000000001;0.007301;0.006007;0.0033950000000000004;0.0019674;0.0023235;0.0036369999999999996;0.004934;0.006036
0.42622950819672134;0.007193000000000001;0.005919;0.004835;0.0025209;0.0015444;0.0018821999999999999;0.002899;0.004143;0.005344
0.4360655737704918;0.006332;0.005301;0.003735;0.0020664000000000004;0.0013335;0.0016661999999999998;0.0023763;0.003514;0.0046700000000000005
0.4459016393442623;0.005654;0.004342;0.003261;0.0016940999999999998;0.0011553000000000002;0.0013521000000000002;0.0020145;0.002936;0.004234
0.45573770491803284;0.004982;0.0039570000000000004;0.002686;0.0013836;0.0010140000000000001;0.001194;0.0016167000000000002;0.002514;0.003418
0.4655737704918033;0.004431;0.003288;0.0022923;0.0011997;0.0009314999999999999;0.001011;0.001347;0.0021129;0.002951
0.4754098360655738;0.003825;0.002867;0.0018920999999999999;0.0010239000000000001;0.0008025;0.0008426999999999999;0.0011043000000000001;0.0017196000000000002;0.0026100000000000003
0.4852459016393443;0.00346;0.00252;0.0016649999999999998;0.0009669;0.0007465;0.0007758;0.0009903;0.0014652;0.0022065
0.4950819672131148;0.002915;0.0022272000000000004;0.0013656;0.0008688000000000001;0.0006899;0.0006927000000000001;0.0008601;0.0013158;0.0019527000000000001
0.5049180327868853;0.002643;0.0018429000000000002;0.0012081;0.0007617;0.0006473;0.0006573999999999999;0.0008058;0.0011187;0.0016370999999999998
0.5147540983606558;0.0023073;0.0015864000000000002;0.0011499000000000001;0.0007199;0.0006187;0.000644;0.0007079;0.0010242;0.00135
0.5245901639344263;0.0019821;0.0013842000000000001;0.0009429;0.0006541;0.0006143;0.0006011;0.0006928;0.0008646000000000001;0.0012255
0.5344262295081967;0.0017028;0.0012228;0.0008874000000000001;0.0006376;0.0005538;0.000585;0.0006625;0.0007704;0.0011415000000000002
0.5442622950819673;0.0014925000000000001;0.0010656;0.0007611;0.0005897999999999999;0.0005398;0.0005767999999999999;0.0006293000000000001;0.0007191;0.0009759
0.5540983606557377;0.0013266;0.0009831;0.0006799999999999999;0.0005587;0.000533;0.0005593;0.0005907;0.0006292;0.0008820000000000001
0.5639344262295083;0.0011958000000000001;0.0008565;0.0006251000000000001;0.0005158000000000001;0.0004623;0.0005141;0.0006117;0.0006612;0.0008085000000000001
0.5737704918032787;0.0010752000000000001;0.0007827;0.0006129999999999999;0.0005028000000000001;0.00048049999999999997;0.0005143;0.0005677000000000001;0.0006365;0.000759
0.5836065573770493;0.0009372;0.0007524;0.0005823;0.0004497;0.0004535;0.0005038;0.0005754;0.0006518;0.0007563
0.5934426229508197;0.0008613;0.0006768;0.0005271;0.0004157;0.00044379999999999995;0.00047000000000000004;0.0005482;0.0006202;0.0007597000000000001
