M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6;7;8
0.0;-0.2;-2.7755575615628914e-17;0.19999999999999996;0.39999999999999997;0.5999999999999999;0.7999999999999998;1.0;1.2
-1.0;3.753e-05;1.9164e-05;2.9922000000000003e-05;8.268000000000001e-06;7.5840000000000006e-06;8.217000000000001e-06;3.0160000000000003e-05;2.8668000000000004e-05
0.0;3.2955e-05;1.8132000000000002e-05;1.0407e-05;1.3905e-05;6.405000000000001e-06;2.6709000000000005e-05;1.0426e-05;2.2242e-05
1.0;3.601200000000001e-05;7.596e-06;9.798000000000002e-06;1.0302e-05;1.0792000000000001e-05;3.1617e-05;9.259e-06;1.5447000000000003e-05
