M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6
0.0;0.0;0.1;0.2;0.30000000000000004;0.4;0.5
-0.099;0.014130000000000002;0.010565999999999999;0.010896000000000001;0.011193;0.011523;0.011772
-0.07903333333333334;0.012396;0.010587000000000001;0.010854;0.011187;0.011544;0.011907000000000001
-0.05906666666666667;0.011445;0.010599;0.010911;0.011238;0.01155;0.011745
-0.0391;0.010905;0.010593;0.010887;0.011262000000000001;0.011592;0.011729999999999999
-0.019133333333333336;0.010758;0.010626;0.010911;0.011253;0.011595000000000001;0.011844
0.0008333333333333248;0.010611;0.010647;0.010941;0.011307000000000001;0.011601;0.011907000000000001
0.0208;0.010509000000000001;0.010719;0.01098;0.011313;0.011643;0.011949000000000001
0.04076666666666667;0.010647;0.010803;0.011067;0.011409;0.011673000000000001;0.011976
0.060733333333333334;0.010632;0.010869;0.011169;0.011457;0.011748;0.012051000000000001
0.0807;0.010743;0.010976999999999999;0.011292;0.011565;0.011805;0.012107999999999999
0.10066666666666665;0.010749000000000002;0.011064000000000001;0.011424;0.011637;0.011991;0.012285
0.12063333333333334;0.010629000000000001;0.011034;0.011475;0.011769;0.012024000000000002;0.012486
0.1406;0.010137;0.010779;0.011283;0.011811;0.012318;0.012651
0.16056666666666666;0.009135;0.009828;0.010536;0.01128;0.011937;0.01254
0.18053333333333335;0.008052;0.008688;0.009438;0.010203;0.011001;0.011709
0.20049999999999998;0.007045;0.007518;0.008237999999999999;0.008928;0.009678;0.010452
0.22046666666666667;0.005514;0.00586;0.0063170000000000006;0.00685;0.007431;0.008052
0.24043333333333336;0.004148000000000001;0.00423;0.0042910000000000005;0.004399;0.004602;0.004793
0.26039999999999996;0.003036;0.003049;0.002997;0.002921;0.002823;0.002672
0.28036666666666665;0.002139;0.002091;0.0020193000000000003;0.0019926;0.0019374;0.0018545999999999999
0.30033333333333334;0.0015666;0.0014967000000000001;0.0014421000000000002;0.0013524000000000001;0.0013293;0.0013605
0.32030000000000003;0.0011835;0.0011478;0.0011016;0.0011178000000000002;0.0010143;0.0010173
0.3402666666666667;0.0009543000000000002;0.0008939999999999999;0.0008424;0.0008234999999999999;0.0008097;0.0007767000000000001
0.3602333333333333;0.0007851;0.0007551;0.0007384000000000001;0.0006393;0.0007058;0.0006614
0.3802;0.0006689;0.0006402000000000001;0.0006522;0.0006524;0.0006003;0.0005745
0.40016666666666667;0.0005672;0.0005131000000000001;0.0005346;0.0004927999999999999;0.0005521;0.0005463
0.42013333333333336;0.0004996;0.0004723;0.0004574;0.00043739999999999995;0.00048180000000000006;0.0005203
0.44010000000000005;0.000399;0.000401;0.00041150000000000003;0.00030710000000000004;0.0003955;0.00043260000000000005
0.46006666666666673;0.0004001;0.00037580000000000003;0.0003881;0.0004055;0.0003621;0.0003609
0.4800333333333334;0.00033850000000000004;0.00035180000000000004;0.0003336;0.00038970000000000004;0.00033820000000000003;0.0003477
0.5;0.0003141;0.0002916;0.0003053;0.0002963;0.0003094;0.0003001
